name,row,anio,entidad_universitaria,nivel_invest,hombres,mujeres,personas_nb,total
311 Investigadores-172 - 2021 - CUAAD,172,2021,CUAAD,Emérito,0,0,,0
311 Investigadores-173 - 2022 - CUAAD,173,2022,CUAAD,Emérito,0,0,,0
311 Investigadores-174 - 2023 - CUAAD,174,2023,CUAAD,Emérito,0,0,,0
311 Investigadores-175 - 2018 - CUAAD,175,2018,CUAAD,SNCA,2,0,,2
311 Investigadores-176 - 2019 - CUAAD,176,2019,CUAAD,SNCA,3,0,,3
311 Investigadores-177 - 2020 - CUAAD,177,2020,CUAAD,SNCA,2,0,,2
311 Investigadores-178 - 2021 - CUAAD,178,2021,CUAAD,SNCA,2,0,,2
311 Investigadores-179 - 2022 - CUAAD,179,2022,CUAAD,SNCA,0,0,,0
311 Investigadores-180 - 2023 - CUAAD,180,2023,CUAAD,SNCA,0,0,,0
311 Investigadores-181 - 2018 - CUCBA,181,2018,CUCBA,Candidato,14,13,,27
311 Investigadores-182 - 2019 - CUCBA,182,2019,CUCBA,Candidato,14,12,,26
311 Investigadores-183 - 2020 - CUCBA,183,2020,CUCBA,Candidato,9,9,,18
311 Investigadores-184 - 2021 - CUCBA,184,2021,CUCBA,Candidato,11,13,,24
311 Investigadores-185 - 2022 - CUCBA,185,2022,CUCBA,Candidato,5,15,,20
311 Investigadores-186 - 2023 - CUCBA,186,2023,CUCBA,Candidato,12,17,,29
311 Investigadores-187 - 2018 - CUCBA,187,2018,CUCBA,Nivel I,33,34,,67
311 Investigadores-188 - 2019 - CUCBA,188,2019,CUCBA,Nivel I,34,36,,70
311 Investigadores-189 - 2020 - CUCBA,189,2020,CUCBA,Nivel I,44,38,,82
311 Investigadores-190 - 2021 - CUCBA,190,2021,CUCBA,Nivel I,45,38,,83
311 Investigadores-191 - 2022 - CUCBA,191,2022,CUCBA,Nivel I,52,43,,95
311 Investigadores-192 - 2023 - CUCBA,192,2023,CUCBA,Nivel I,56,49,,105
311 Investigadores-193 - 2018 - CUCBA,193,2018,CUCBA,Nivel II,16,4,,20
311 Investigadores-194 - 2019 - CUCBA,194,2019,CUCBA,Nivel II,17,6,,23
311 Investigadores-195 - 2020 - CUCBA,195,2020,CUCBA,Nivel II,13,6,,19
311 Investigadores-196 - 2021 - CUCBA,196,2021,CUCBA,Nivel II,13,6,,19
311 Investigadores-197 - 2022 - CUCBA,197,2022,CUCBA,Nivel II,10,8,,18
311 Investigadores-198 - 2023 - CUCBA,198,2023,CUCBA,Nivel II,11,10,,21
311 Investigadores-199 - 2018 - CUCBA,199,2018,CUCBA,Nivel III,3,2,,5
311 Investigadores-200 - 2019 - CUCBA,200,2019,CUCBA,Nivel III,3,2,,5
311 Investigadores-201 - 2020 - CUCBA,201,2020,CUCBA,Nivel III,6,2,,8
311 Investigadores-202 - 2021 - CUCBA,202,2021,CUCBA,Nivel III,6,2,,8
311 Investigadores-203 - 2022 - CUCBA,203,2022,CUCBA,Nivel III,7,2,,9
311 Investigadores-204 - 2023 - CUCBA,204,2023,CUCBA,Nivel III,6,2,,8
311 Investigadores-205 - 2018 - CUCBA,205,2018,CUCBA,Emérito,0,0,,0
311 Investigadores-206 - 2019 - CUCBA,206,2019,CUCBA,Emérito,0,0,,0
311 Investigadores-207 - 2020 - CUCBA,207,2020,CUCBA,Emérito,0,0,,0
311 Investigadores-208 - 2021 - CUCBA,208,2021,CUCBA,Emérito,0,0,,0
311 Investigadores-209 - 2022 - CUCBA,209,2022,CUCBA,Emérito,0,0,,0
311 Investigadores-210 - 2023 - CUCBA,210,2023,CUCBA,Emérito,0,0,,0
311 Investigadores-211 - 2018 - CUCBA,211,2018,CUCBA,SNCA,0,0,,0
311 Investigadores-212 - 2019 - CUCBA,212,2019,CUCBA,SNCA,0,0,,0
311 Investigadores-213 - 2020 - CUCBA,213,2020,CUCBA,SNCA,0,0,,0
311 Investigadores-214 - 2021 - CUCBA,214,2021,CUCBA,SNCA,0,0,,0
311 Investigadores-215 - 2022 - CUCBA,215,2022,CUCBA,SNCA,0,0,,0
311 Investigadores-216 - 2023 - CUCBA,216,2023,CUCBA,SNCA,0,0,,0
311 Investigadores-217 - 2018 - CUALTOS,217,2018,CUALTOS,Candidato,6,5,,11
