name,row,anio,entidad_universitaria,pa_categoria_t,pa_categoria,pa_nivel,hombres,mujeres,personas_nb,total
712-2024-231 PA DMT Asistente B de AG,231,2024,AG,DMT,Asistente,B,0,0,,0
712-2024-232 PA DMT Asistente C de CUCEA,232,2024,CUCEA,DMT,Asistente,C,0,0,,0
712-2024-233 PA DMT Asistente C de CUCEI,233,2024,CUCEI,DMT,Asistente,C,2,1,,3
712-2024-234 PA DMT Asistente C de CUCSH,234,2024,CUCSH,DMT,Asistente,C,1,1,,2
712-2024-235 PA DMT Asistente C de CUCS,235,2024,CUCS,DMT,Asistente,C,1,1,,2
712-2024-236 PA DMT Asistente C de CUAAD,236,2024,CUAAD,DMT,Asistente,C,4,0,,4
712-2024-237 PA DMT Asistente C de CUCBA,237,2024,CUCBA,DMT,Asistente,C,0,0,,0
712-2024-238 PA DMT Asistente C de CUALTOS,238,2024,CUALTOS,DMT,Asistente,C,0,0,,0
712-2024-239 PA DMT Asistente C de CUCIÉNEGA,239,2024,CUCIÉNEGA,DMT,Asistente,C,0,0,,0
712-2024-240 PA DMT Asistente C de CUSUR,240,2024,CUSUR,DMT,Asistente,C,0,0,,0
712-2024-241 PA DMT Asistente C de CUCOSTA,241,2024,CUCOSTA,DMT,Asistente,C,0,0,,0
712-2024-242 PA DMT Asistente C de CUCOSTASUR,242,2024,CUCOSTASUR,DMT,Asistente,C,0,0,,0
712-2024-243 PA DMT Asistente C de CUVALLES,243,2024,CUVALLES,DMT,Asistente,C,0,0,,0
712-2024-244 PA DMT Asistente C de CUNORTE,244,2024,CUNORTE,DMT,Asistente,C,0,0,,0
712-2024-245 PA DMT Asistente C de CULAGOS,245,2024,CULAGOS,DMT,Asistente,C,0,0,,0
712-2024-246 PA DMT Asistente C de CUTONALÁ,246,2024,CUTONALÁ,DMT,Asistente,C,0,0,,0
