row,clave_programa,programa_educativo,nivel_educativo,campo_clasificacion,campo_amplio,campo_especifico,campo_detallado,
279,5081100010,Licenciatura en Agrobiotecnología,Licenciatura,081100,080000,081000,081100,
280,5081100050,Ing. en Sistemas Pecuarios,Licenciatura,081100,080000,081000,081100,
281,5081100050,Ingeniería en Sistemas Pecuarios,Licenciatura,081100,080000,081000,081100,
282,5081300016,Ing. Agrónomo,Licenciatura,081300,080000,081000,081300,
283,5081300016,Ingeniero Agrónomo,Licenciatura,081300,080000,081000,081300,
284,5082100001,Licenciatura en Medicina Veterinaria y Zootecnia,Licenciatura,082100,080000,082000,082100,
285,5082100001,Licenciatura en Medicina Veterinaria y Zootecnia,Licenciatura,082100,080000,082000,082100,
286,5091100010,Médico Cirujano Partero,Licenciatura,091100,090000,091000,091100,
287,5091100011,Médico Cirujano y Partero,Licenciatura,091100,090000,091000,091100,
288,5092100006,Licenciatura en Enfermería,Licenciatura,092100,090000,092000,092100,
289,5092100006,Licenciatura en Enfermería,Licenciatura,092100,090000,092000,092100,
290,5093100002,Licenciatura en Cirujano Dentista,Licenciatura,093100,090000,093000,093100,
291,5093100002,Licenciatura en Cirujano Dentista,Licenciatura,093100,090000,093000,093100,
292,5094100009,Licenciatura en Terapia Física,Licenciatura,094100,090000,094000,094100,
293,5094100009,Licenciatura en Terapia Física (cuatrimestre),Licenciatura,094100,090000,094000,094100,
294,5094100009,Licenciatura en Terapia Física (semestre),Licenciatura,094100,090000,094000,094100,
295,5094100009,Licenciatura en Terapia Física,Licenciatura,094100,090000,094000,094100,
296,5094200006,Licenciatura en Nutrición,Licenciatura,094200,090000,094000,094200,
297,5094200006,Licenciatura en Nutrición,Licenciatura,094200,090000,094000,094200,
298,5094300009,Licenciatura en Podología,Licenciatura,094300,090000,094000,094300,
299,5094300009,Licenciatura en Podología,Licenciatura,094300,090000,094000,094300,
300,5095400006,Licenciatura en Químico Farmacéutico Biólogo,Licenciatura,095400,090000,095000,095400,
301,5095400006,Licenciatura en Químico Farmacéutico Biólogo,Licenciatura,095400,090000,095000,095400,
302,5095600005,Licenciatura en Salud Pública,Licenciatura,095600,090000,095000,095600,
303,5095600005,Licenciatura en Salud Pública,Licenciatura,095600,090000,095000,095600,
304,5101100015,Licenciatura en Cultura Física y Deportes,Licenciatura,101100,100000,101000,101100,
305,5101100015,Licenciatura en Cultura Física y Deportes,Licenciatura,101100,100000,101000,101100,
306,5101600013,Licenciatura en Turismo,Licenciatura,101600,100000,101000,101600,
307,5101600013,Licenciatura en Turismo,Licenciatura,101600,100000,101000,101600,
308,5102100004,Ing. en Logística y Transporte,Licenciatura,102100,100000,102000,102100,
309,5102100004,Ingeniería en Logística y Transporte,Licenciatura,102100,100000,102000,102100,
310,5103100007,"Licenciatura en Seguridad Laboral, Protección Civil y Emergencias",Licenciatura,103100,100000,103000,103100,
311,5103100017,"Licenciatura en Seguridad Laboral, Protección Civil y Emergencias",Licenciatura,103100,100000,103000,103100,
312,5103100017,"Licenciatura en Seguridad Laboral, Protección Civil y Emergencias",Licenciatura,103100,100000,103000,103100,
