name,row,ciclo,clave_plantel,cve_programa,modalidad,egresados_h,egresados_m,egresados_nb,egresados_t,e_discapacidad_h,e_discapacidad_m,e_discapacidad_nb,e_discapacidad_t,e_habla_indigena_h,e_habla_indigena_m,e_habla_indigena_nb,e_habla_indigena_t,titulados_h,titulados_m,titulados_nb,titulados_t,ti_discapacidad_h,ti_discapacidad_m,ti_discapacidad_nb,ti_discapacidad_t,ti_habla_indigena_h,ti_habla_indigena_m,ti_habla_indigena_nb,ti_habla_indigena_t
108 2021-2022 14MMS0732V BGC,108,2021-2022,14MMS0732V,BGC,Escolarizada,33,55,,88,,,,2,,,,2,,,,,,,,,,,,
109 2021-2022 14MMS0622P BGC,109,2021-2022,14MMS0622P,BGC,Escolarizada,50,67,,117,,,,3,,,,0,,,,,,,,,,,,
110 2021-2022 14MMS0622P BGC,110,2021-2022,14MMS0622P,BGC,Escolarizada,49,67,,116,,,,3,,,,0,,,,,,,,,,,,
111 2021-2022 14MMS0733U BGC,111,2021-2022,14MMS0733U,BGC,Escolarizada,26,26,,52,,,,0,,,,0,,,,,,,,,,,,
112 2021-2022 14MMS0674V BGC,112,2021-2022,14MMS0674V,BGC,Escolarizada,34,46,,80,,,,0,,,,2,,,,,,,,,,,,
113 2021-2022 14MMS0734T BGC,113,2021-2022,14MMS0734T,BGC,Escolarizada,16,27,,43,,,,0,,,,1,,,,,,,,,,,,
114 2021-2022 14MMS0675U BGC,114,2021-2022,14MMS0675U,BGC,Escolarizada,23,48,,71,,,,1,,,,0,,,,,,,,,,,,
115 2021-2022 14MMS0676T BGC,115,2021-2022,14MMS0676T,BGC,Escolarizada,28,29,,57,,,,0,,,,0,,,,,,,,,,,,
116 2021-2022 14MMS0676T BGC,116,2021-2022,14MMS0676T,BGC,Escolarizada,25,31,,56,,,,0,,,,0,,,,,,,,,,,,
117 2021-2022 14MMS0735S BGC,117,2021-2022,14MMS0735S,BGC,Escolarizada,22,27,,49,,,,4,,,,0,,,,,,,,,,,,
118 2021-2022 14MMS0736R BGC,118,2021-2022,14MMS0736R,BGC,Escolarizada,26,29,,55,,,,0,,,,0,,,,,,,,,,,,
119 2021-2022 14MMS0737Q BGC,119,2021-2022,14MMS0737Q,BGC,Escolarizada,21,31,,52,,,,1,,,,0,,,,,,,,,,,,
120 2021-2022 14MMS0677S BGC,120,2021-2022,14MMS0677S,BGC,Escolarizada,31,34,,65,,,,0,,,,0,,,,,,,,,,,,
121 2021-2022 14MMS0677S BGC,121,2021-2022,14MMS0677S,BGC,Escolarizada,19,46,,65,,,,0,,,,0,,,,,,,,,,,,
122 2021-2022 14MMS0758C BGC,122,2021-2022,14MMS0758C,BGC,Escolarizada,50,58,,108,,,,5,,,,0,,,,,,,,,,,,
123 2021-2022 14MMS0626L BGC,123,2021-2022,14MMS0626L,BGC,Escolarizada,145,243,,388,,,,12,,,,0,,,,,,,,,,,,
124 2021-2022 14MMS0626L BGC,124,2021-2022,14MMS0626L,BGC,Escolarizada,149,237,,386,,,,14,,,,1,,,,,,,,,,,,
125 2021-2022 14MMS0680F BGC,125,2021-2022,14MMS0680F,BGC,Escolarizada,51,53,,104,,,,0,,,,0,,,,,,,,,,,,
126 2021-2022 14MMS0681E BGC,126,2021-2022,14MMS0681E,BGC,Escolarizada,34,44,,78,,,,1,,,,0,,,,,,,,,,,,
127 2021-2022 14MMS0651K BGC,127,2021-2022,14MMS0651K,BGC,Escolarizada,90,139,,229,,,,5,,,,0,,,,,,,,,,,,
128 2021-2022 14MMS0651K BGC,128,2021-2022,14MMS0651K,BGC,Escolarizada,100,129,,229,,,,8,,,,0,,,,,,,,,,,,
129 2021-2022 14MMS0798D BGC,129,2021-2022,14MMS0798D,BGC,Escolarizada,44,57,,101,,,,4,,,,0,,,,,,,,,,,,
130 2021-2022 14MMS0798D BGC,130,2021-2022,14MMS0798D,BGC,Escolarizada,52,48,,100,,,,4,,,,0,,,,,,,,,,,,
131 2021-2022 14MMS0698E BGC,131,2021-2022,14MMS0698E,BGC,Escolarizada,47,38,,85,,,,0,,,,0,,,,,,,,,,,,
