name,row,anio,entidad_universitaria,programa_educativo_vigente,total
422 PE que requieren PP-975 - 2019 - CUCSH,975,2019,CUCSH,Licenciatura en Antropología,1
422 PE que requieren PP-976 - 2019 - CUCSH,976,2019,CUCSH,Licenciatura en Comunicación Pública,1
422 PE que requieren PP-977 - 2019 - CUCSH,977,2019,CUCSH,Licenciatura en Criminología,1
422 PE que requieren PP-978 - 2019 - CUCSH,978,2019,CUCSH,Licenciatura en Derecho,1
422 PE que requieren PP-979 - 2019 - CUCSH,979,2019,CUCSH,Licenciatura en Didáctica del Francés como Lengua Extranjera,1
422 PE que requieren PP-980 - 2019 - CUCSH,980,2019,CUCSH,Licenciatura en Docencia del Inglés como Lengua Extranjera,1
422 PE que requieren PP-981 - 2019 - CUCSH,981,2019,CUCSH,Licenciatura en Sociología,1
422 PE que requieren PP-982 - 2019 - CUCSH,982,2019,CUCSH,Licenciatura en Estudios Políticos y de Gobierno,1
422 PE que requieren PP-983 - 2019 - CUCSH,983,2019,CUCSH,Licenciatura en Filosofía,1
422 PE que requieren PP-984 - 2019 - CUCSH,984,2019,CUCSH,Licenciatura en Geografía,1
422 PE que requieren PP-985 - 2019 - CUCSH,985,2019,CUCSH,Licenciatura en Historia,1
422 PE que requieren PP-986 - 2019 - CUCSH,986,2019,CUCSH,Licenciatura en Letras Hispánicas,1
422 PE que requieren PP-987 - 2019 - CUCSH,987,2019,CUCSH,Licenciatura en Trabajo Social,1
422 PE que requieren PP-988 - 2019 - CUCSH,988,2019,CUCSH,Licenciatura en Relaciones Internacionales,1
422 PE que requieren PP-989 - 2019 - CUALTOS,989,2019,CUALTOS,Licenciatura en Psicología ,1
422 PE que requieren PP-990 - 2019 - CUALTOS,990,2019,CUALTOS,Licenciatura en Nutrición,1
422 PE que requieren PP-991 - 2019 - CUALTOS,991,2019,CUALTOS,Licenciatura en Negocios Internacionales,1
422 PE que requieren PP-992 - 2019 - CUALTOS,992,2019,CUALTOS,Licenciatura en Sistemas Pecuarios,1
422 PE que requieren PP-993 - 2019 - CUALTOS,993,2019,CUALTOS,Licenciatura en Médico Veterinario Zootecnista,1
422 PE que requieren PP-994 - 2019 - CUALTOS,994,2019,CUALTOS,Ingeniería Agroindustrial,1
422 PE que requieren PP-995 - 2019 - CUALTOS,995,2019,CUALTOS,Licenciatura en Contaduría Pública,1
422 PE que requieren PP-996 - 2019 - CUALTOS,996,2019,CUALTOS,Licenciatura en Administración,1
422 PE que requieren PP-997 - 2019 - CUALTOS,997,2019,CUALTOS,Abogado,1
422 PE que requieren PP-998 - 2019 - CUALTOS,998,2019,CUALTOS,Médico Cirujano y Partero,1
422 PE que requieren PP-999 - 2019 - CUCIÉNEGA,999,2019,CUCIÉNEGA,Abogado,1
422 PE que requieren PP-1000 - 2019 - CUCIÉNEGA,1000,2019,CUCIÉNEGA,Ingeniería en Computación,1
422 PE que requieren PP-1001 - 2019 - CUCIÉNEGA,1001,2019,CUCIÉNEGA,Ingeniería Industrial,1
422 PE que requieren PP-1002 - 2019 - CUCIÉNEGA,1002,2019,CUCIÉNEGA,Ingeniería Informática,1
422 PE que requieren PP-1003 - 2019 - CUCIÉNEGA,1003,2019,CUCIÉNEGA,Ingeniería Química,1
422 PE que requieren PP-1004 - 2019 - CUCIÉNEGA,1004,2019,CUCIÉNEGA,Licenciatura en Administración,1
