name,ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
2022-202314USU0100Z5012603027,2022-2023,14USU0100Z,5012603027,Escolarizada,43,113,0,156,1,2,0,3,0,0,0,0
2022-202314USU0100Z5022300022,2022-2023,14USU0100Z,5022300022,Escolarizada,143,458,0,601,9,7,0,16,0,0,0,0
2022-202314USU0100Z5022500008,2022-2023,14USU0100Z,5022500008,Escolarizada,364,268,0,632,12,9,0,21,1,1,0,2
2022-202314USU0100Z5022600002,2022-2023,14USU0100Z,5022600002,Escolarizada,287,147,0,434,7,9,0,16,0,0,0,0
2022-202314USU0100Z5031200004,2022-2023,14USU0100Z,5031200004,Escolarizada,84,171,0,255,4,5,0,9,1,0,0,1
2022-202314USU0100Z5033100003,2022-2023,14USU0100Z,5033100003,Escolarizada,2733,3146,0,5879,38,52,0,90,5,4,0,9
2022-202314USU0100Z5052300015,2022-2023,14USU0100Z,5052300015,Escolarizada,155,142,0,297,2,5,0,7,0,0,0,0
2022-202314USU0011G5071100005,2022-2023,14USU0011G,5071100005,Escolarizada,34,26,0,60,2,0,0,2,0,0,0,0
2022-202314USU0150H5033100003,2022-2023,14USU0150H,5033100003,Escolarizada,79,100,0,179,3,3,0,6,0,0,0,0
2022-202314USU0150H5041400032,2022-2023,14USU0150H,5041400032,Escolarizada,77,73,0,150,3,3,0,6,0,0,0,0
2022-202314USU0150H5042000002,2022-2023,14USU0150H,5042000002,Escolarizada,55,67,0,122,1,2,0,3,0,0,0,0
2022-202314USU0150H5042100117,2022-2023,14USU0150H,5042100117,Escolarizada,16,66,0,82,0,6,0,6,0,0,0,0
2022-202314USU0160O5031100007,2022-2023,14USU0160O,5031100007,Escolarizada,132,392,0,524,5,19,0,24,0,1,0,1
2022-202314USU0160O5032100038,2022-2023,14USU0160O,5032100038,Escolarizada,36,49,0,85,0,1,0,1,0,0,0,0
2022-202314USU0160O5033100003,2022-2023,14USU0160O,5033100003,Escolarizada,289,399,0,688,5,10,0,15,0,0,0,0
2022-202314USU0160O5041100056,2022-2023,14USU0160O,5041100056,Escolarizada,166,253,0,419,6,6,0,12,2,1,0,3
2022-202314USU0160O5041200028,2022-2023,14USU0160O,5041200028,Escolarizada,114,134,0,248,6,5,0,11,0,0,0,0
2022-202314USU0160O5041400032,2022-2023,14USU0160O,5041400032,Escolarizada,124,169,0,293,2,12,0,14,0,1,0,1
2022-202314USU0120N5041400032,2022-2023,14USU0120N,5041400032,Escolarizada,1708,1816,0,3524,30,29,0,59,1,4,0,5
2022-202314USU0120N5042000002,2022-2023,14USU0120N,5042000002,Escolarizada,1376,1528,0,2904,20,27,0,47,1,2,0,3
2022-202314USU0120N5042100117,2022-2023,14USU0120N,5042100117,Escolarizada,213,992,0,1205,5,13,0,18,0,1,0,1
2022-202314USU0120N5042300027,2022-2023,14USU0120N,5042300027,Escolarizada,290,238,0,528,5,6,0,11,1,2,0,3
2022-202314USU0120N5051300020,2022-2023,14USU0120N,5051300020,Escolarizada,122,196,0,318,2,4,0,6,1,0,0,1
2022-202314USU0120N5062200082,2022-2023,14USU0120N,5062200082,Escolarizada,523,150,0,673,16,6,0,22,3,1,0,4
2022-202314USU0120N5101600013,2022-2023,14USU0120N,5101600013,Escolarizada,275,975,0,1250,6,26,0,32,0,0,0,0
2022-202314USU0130U5041100021,2022-2023,14USU0130U,5041100021,Escolarizada,123,107,0,230,4,4,0,8,0,1,0,1
2022-202314USU0130U5051100003,2022-2023,14USU0130U,5051100003,Escolarizada,817,1148,0,1965,25,31,0,56,0,0,0,0
2022-202314USU0130U5072100018,2022-2023,14USU0130U,5072100018,Escolarizada,71,153,0,224,3,2,0,5,0,0,0,0
2022-202314USU0130U5081300016,2022-2023,14USU0130U,5081300016,Escolarizada,1325,585,0,1910,21,16,0,37,2,4,0,6
2022-202314USU0130U5082100001,2022-2023,14USU0130U,5082100001,Escolarizada,793,1836,0,2629,15,44,0,59,1,3,0,4
2022-202314USU0140A5021000110,2022-2023,14USU0140A,5021000110,Escolarizada,71,106,0,177,3,3,0,6,0,0,0,0
2022-202314USU0140A5021500044,2022-2023,14USU0140A,5021500044,Escolarizada,463,876,0,1339,9,33,0,42,1,0,0,1
2022-202314USU0140A5021600017,2022-2023,14USU0140A,5021600017,Escolarizada,52,534,0,586,0,18,0,18,0,0,0,0
2022-202314USU0140A5021600024,2022-2023,14USU0140A,5021600024,Escolarizada,74,285,0,359,0,7,0,7,0,1,0,1
2022-202314USU0140A5071100019,2022-2023,14USU0140A,5071100019,Escolarizada,284,350,0,634,4,7,0,11,0,0,0,0
2022-202314USU0140A5073100009,2022-2023,14USU0140A,5073100009,Escolarizada,1213,985,0,2198,18,17,0,35,2,2,0,4
2022-202314USU0140A5073100024,2022-2023,14USU0140A,5073100024,Escolarizada,179,165,0,344,2,6,0,8,0,0,0,0
2022-202314USU0120N5041100009,2022-2023,14USU0120N,5041100009,Escolarizada,314,296,0,610,8,7,0,15,1,0,0,1
2022-202314USU0120N5041100056,2022-2023,14USU0120N,5041100056,Escolarizada,1596,2259,0,3855,18,42,0,60,0,2,0,2
2022-202314USU0120N5041200028,2022-2023,14USU0120N,5041200028,Escolarizada,1035,1353,0,2388,21,25,0,46,0,2,0,2
2022-202314USU0120N5041300007,2022-2023,14USU0120N,5041300007,Escolarizada,1120,898,0,2018,17,22,0,39,0,1,0,1
2022-202314USU0190I5073200005,2022-2023,14USU0190I,5073200005,Escolarizada,421,101,0,522,5,5,0,10,1,1,0,2
2022-202314USU0190I5091100011,2022-2023,14USU0190I,5091100011,Escolarizada,190,302,0,492,4,6,0,10,2,0,0,2
2022-202314USU0190I5092100006,2022-2023,14USU0190I,5092100006,Escolarizada,67,286,0,353,0,9,0,9,0,1,0,1
2022-202314USU0190I5094200006,2022-2023,14USU0190I,5094200006,Escolarizada,62,260,0,322,1,4,0,5,0,0,0,0
2022-202314USU0190I5101100015,2022-2023,14USU0190I,5101100015,Escolarizada,171,90,0,261,6,1,0,7,0,0,0,0
2022-202314USU0190I5101600013,2022-2023,14USU0190I,5101600013,Escolarizada,135,236,0,371,7,7,0,14,1,0,0,1
2022-202314USU0200Z4071500002,2022-2023,14USU0200Z,4071500002,Escolarizada,148,3,0,151,1,0,0,1,0,0,0,0
2022-202314USU0170V5033100003,2022-2023,14USU0170V,5033100003,Escolarizada,56,61,0,117,4,7,0,11,1,0,0,1
2022-202314USU0170V5041100021,2022-2023,14USU0170V,5041100021,Escolarizada,68,40,0,108,3,0,0,3,0,0,0,0
2022-202314USU0170V5041400032,2022-2023,14USU0170V,5041400032,Escolarizada,1,0,0,1,0,0,0,0,0,0,0,0
2022-202314USU0170V5042000002,2022-2023,14USU0170V,5042000002,Escolarizada,47,59,0,106,2,0,0,2,0,0,0,0
2022-202314USU0170V5081100010,2022-2023,14USU0170V,5081100010,Escolarizada,117,66,0,183,3,2,0,5,0,0,0,0
2022-202314USU0170V5092100006,2022-2023,14USU0170V,5092100006,Escolarizada,6,22,0,28,0,0,0,0,0,0,0,0
2022-202314USU0190I5021000114,2022-2023,14USU0190I,5021000114,Escolarizada,29,54,0,83,2,2,0,4,0,0,0,0
2022-202314USU0190I5021500002,2022-2023,14USU0190I,5021500002,Escolarizada,161,127,0,288,10,3,0,13,0,1,0,1
2022-202314USU0190I5021500044,2022-2023,14USU0190I,5021500044,Escolarizada,62,148,0,210,3,5,0,8,0,0,0,0
2022-202314USU0190I5021700002,2022-2023,14USU0190I,5021700002,Escolarizada,26,106,0,132,3,8,0,11,0,0,0,0
2022-202314USU0190I5031100007,2022-2023,14USU0190I,5031100007,Escolarizada,101,433,0,534,6,13,0,19,0,1,0,1
2022-202314USU0190I5033100003,2022-2023,14USU0190I,5033100003,Escolarizada,209,338,0,547,5,14,0,19,1,0,0,1
2022-202314USU0190I5041400032,2022-2023,14USU0190I,5041400032,Escolarizada,259,315,0,574,13,8,0,21,0,2,0,2
2022-202314USU0190I5042000002,2022-2023,14USU0190I,5042000002,Escolarizada,218,347,0,565,7,12,0,19,1,1,0,2
2022-202314USU0190I5051100003,2022-2023,14USU0190I,5051100003,Escolarizada,80,140,0,220,4,5,0,9,0,0,0,0
2022-202314USU0190I5061000002,2022-2023,14USU0190I,5061000002,Escolarizada,177,24,0,201,7,3,0,10,0,1,0,1
2022-202314USU0190I5062100034,2022-2023,14USU0190I,5062100034,Escolarizada,115,20,0,135,8,0,0,8,0,0,0,0
2022-202314USU0190I5071000047,2022-2023,14USU0190I,5071000047,Escolarizada,143,16,0,159,14,2,0,16,0,0,0,0
2022-202314USU0190I5072100049,2022-2023,14USU0190I,5072100049,Escolarizada,83,100,0,183,4,0,0,4,0,0,0,0
2022-202314USU0160O5042000002,2022-2023,14USU0160O,5042000002,Escolarizada,148,225,0,373,4,7,0,11,0,0,0,0
2022-202314USU0160O5042100117,2022-2023,14USU0160O,5042100117,Escolarizada,61,171,0,232,0,6,0,6,0,0,0,0
2022-202314USU0160O5061000002,2022-2023,14USU0160O,5061000002,Escolarizada,206,50,0,256,13,1,0,14,0,0,0,0
2022-202314USU0160O5062200055,2022-2023,14USU0160O,5062200055,Escolarizada,183,47,0,230,11,3,0,14,1,0,0,1
2022-202314USU0160O5071400015,2022-2023,14USU0160O,5071400015,Escolarizada,159,170,0,329,4,4,0,8,0,0,0,0
2022-202314USU0160O5091100011,2022-2023,14USU0160O,5091100011,Escolarizada,26,57,0,83,0,1,0,1,0,1,0,1
2022-202314USU0160O5095400006,2022-2023,14USU0160O,5095400006,Escolarizada,174,323,0,497,12,11,0,23,0,0,0,0
2022-202314USU0210F5032100038,2022-2023,14USU0210F,5032100038,Escolarizada,27,51,0,78,2,1,0,3,0,0,0,0
2022-202314USU0210F5033100003,2022-2023,14USU0210F,5033100003,Escolarizada,249,420,0,669,14,8,0,22,0,1,0,1
2022-202314USU0210F5041100021,2022-2023,14USU0210F,5041100021,Escolarizada,221,195,0,416,5,8,0,13,0,0,0,0
2022-202314USU0210F5041100056,2022-2023,14USU0210F,5041100056,Escolarizada,204,352,0,556,6,10,0,16,0,0,0,0
2022-202314USU0210F5042200024,2022-2023,14USU0210F,5042200024,Escolarizada,59,132,0,191,4,5,0,9,1,2,0,3
2022-202314USU0210F5051100015,2022-2023,14USU0210F,5051100015,Escolarizada,40,95,0,135,4,6,0,10,0,0,0,0
2022-202314USU0210F5062100034,2022-2023,14USU0210F,5062100034,Escolarizada,212,37,0,249,4,2,0,6,1,0,0,1
2022-202314USU0210F5072400001,2022-2023,14USU0210F,5072400001,Escolarizada,50,43,0,93,3,1,0,4,0,0,0,0
2022-202314USU0210F5081100010,2022-2023,14USU0210F,5081100010,Escolarizada,183,112,0,295,5,2,0,7,0,2,0,2
2022-202314USU0210F5082100001,2022-2023,14USU0210F,5082100001,Escolarizada,286,385,0,671,9,9,0,18,1,2,0,3
2022-202314USU0210F5091100011,2022-2023,14USU0210F,5091100011,Escolarizada,310,487,0,797,6,10,0,16,0,1,0,1
2022-202314USU0210F5092100006,2022-2023,14USU0210F,5092100006,Escolarizada,178,821,0,999,3,15,0,18,0,1,0,1
2022-202314USU0210F5093100002,2022-2023,14USU0210F,5093100002,Escolarizada,23,54,0,77,0,2,0,2,0,0,0,0
2022-202314USU0210F5094200006,2022-2023,14USU0210F,5094200006,Escolarizada,83,344,0,427,2,10,0,12,0,2,0,2
