orden,entidad_universitaria,plantel_adscripcion,clave_plantel,nombre_plantel,nombre_plantel_corto,tipo_plantel,clasificacion_plantel,region_jalisco,municipio,notas
99,SEMS,,14MMS0625M,Escuela Preparatoria Regional de Colotlán,EPR de Colotlán,Escuela,Regional,Región Norte,Colotlán,
100,SEMS,14MMS0625M,14MMS0738P,Módulo Bolaños,Módulo Bolaños,Módulo,Regional,Región Norte,Bolaños,
101,SEMS,14MMS0625M,14MMS0684B,Módulo Huejúcar,Módulo Huejúcar,Módulo,Regional,Región Norte,Huejúcar,
102,SEMS,14MMS0625M,14MMS0687Z,Módulo San Martin de Bolaños,Módulo San Martín de Bolaños,Módulo,Regional,Región Norte,San Martín de Bolaños,
103,SEMS,14MMS0625M,14MMS0688Y,Módulo Villa Guerrero,Módulo Villa Guerrero,Módulo,Regional,Región Norte,Villa Guerrero,
104,SEMS,,14MMS0652J,Escuela Preparatoria Regional de Degollado,EPR de Degollado,Escuela,Regional,Región Ciénega,Degollado,
105,SEMS,,14MMS0718B,Escuela Preparatoria Regional de El Arenal,EPR de El Arenal,Escuela,Regional,Región Valles,El Arenal,
106,SEMS,,14MMS0637R,Escuela Preparatoria Regional de El Grullo,EPR de El Grullo,Escuela,Regional,Región Sierra de Amula,El Grullo,
107,SEMS,14MMS0637R,14MMS0760R,Módulo El Chante,Módulo El Chante,Módulo,Regional,Región Sierra de Amula,Autlán de Navarro,
108,SEMS,14MMS0637R,14MMS0671Y,Módulo El Limón,Módulo El Limón,Módulo,Regional,Región Sierra de Amula,El Limón,
109,SEMS,14MMS0637R,14MMS0673W,Módulo Tonaya,Módulo Tonaya,Módulo,Regional,Región Sierra de Amula,Tonaya,
110,SEMS,14MMS0637R,14MMS0731W,Módulo Tuxcacuesco,Módulo Tuxcacuesco,Módulo,Regional,Región Sierra de Amula,Tuxcacuesco,
111,SEMS,,14MMS0654H,Escuela Preparatoria Regional de El Salto,EPR de El Salto,Escuela,Metropolitano,Región Centro,El Salto,
112,SEMS,14MMS0654H,14MMS0879O,Módulo Juanacatlán,Módulo Juanacatlán,Módulo,Metropolitano,Región Centro,Juanacatlán,
113,SEMS,,14MMS0642C,Escuela Preparatoria Regional de Etzatlán,EPR de Etzatlán,Escuela,Regional,Región Valles,Etzatlán,
114,SEMS,14MMS0642C,14MMS0726K,Módulo Oconahua,Módulo Oconahua,Módulo,Regional,Región Valles,Etzatlán,
115,SEMS,14MMS0642C,14MMS0661R,Módulo San Marcos,Módulo San Marcos,Módulo,Regional,Región Valles,San Marcos,
116,SEMS,,14MMS0685A,Escuela Preparatoria Regional de Huejuquilla el Alto,EPR de Huejuquilla el Alto,Escuela,Regional,Región Norte,Huejuquilla el Alto,
117,SEMS,14MMS0685A,14MMS0686Z,Módulo Mezquitic,Módulo Mezquitic,Módulo,Regional,Región Norte,Mezquitic,
118,SEMS,,14MMS0798D,Escuela Preparatoria Regional de Ixtlahuacán de los Membrillos,EPR Ixtlahuacán de los Membrillos,Escuela,Metropolitano,Región Centro,Ixtlahuacán de los Membrillos,
