row,clave_programa,programa_educativo,nivel_educativo,campo_clasificacion
281,7041300082,Maestría en Finanzas para el Desarrollo Sostenible,Maestría,041000
282,7041400008,Maestría en Análisis Tributario,Maestría,041000
283,7041400048,Maestría en Estudios Fiscales,Maestría,041000
284,7042100015,Maestría en Administración y Gestión Regional,Maestría,042000
285,7042100033,Maestría en Administración de Negocios,Maestría,042000
286,7042100311,Maestría en Desarrollo y Dirección de la Innovación,Maestría,042000
287,7042300011,Maestría en Gestión de Gobiernos Locales,Maestría,042000
288,7042300040,Maestría en Gobierno Electrónico,Maestría,042000
289,7042300054,"Maestría en Ciencias para el Desarrollo, la Sustentabilidad y el Turismo",Maestría,042000
290,7042500117,Maestría en Gestión y Desarrollo Cultural,Maestría,042000
291,7051300013,Maestría en Ciencias en Biosistemática y Manejo de Recursos Naturales y Agrícolas,Maestría,051000
292,7051300018,Maestría en Ciencias en Manejo de Recursos Naturales,Maestría,051000
293,7051300079,Maestría en Ciencias en Ecología y Manejo de Recursos Costeros y Marinos,Maestría,051000
294,7051300093,"Maestria en Ciudad, Cambio Climatico y Resiliencia",Maestría,051000
295,7052100009,Maestría en Ciencias en Física,Maestría,052000
296,7052100021,Maestría en Ciencias Físico Matemáticas,Maestría,052000
297,7052200003,Maestría en Ciencia de Materiales,Maestría,052000
298,7052200006,Maestría en Ciencias en Química,Maestría,052000
299,7052200016,Maestría en Ciencia e Ingeniería de Materiales,Maestría,052000
300,7052200018,Maestría en Ciencias en Ingeniería Química,Maestría,052000
301,7052300006,Maestría en Ciencias en Geofísica,Maestría,052000
302,7052300025,Maestría en Ciencias en Hidrometeorología,Maestría,052000
303,7052300035,Maestria En Geologia,Maestría,052000
304,7053100007,Maestría en Ciencias en Matemáticas,Maestría,053000
305,7053100018,Maestría en Ciencias con Orientación en Ciencias Exactas e Ingenierías,Maestría,053000
306,7061000012,Maestría en Ciencia de los Datos,Maestría,061000
307,7061300005,Maestría en Ingeniería de Software,Maestría,061000
308,7061300057,Maestria en Ingenieria Y Ciencia De Datos,Maestría,061000
309,7062000007,Maestría en Ciencias en Bioingeniería y Cómputo Inteligente,Maestría,062000
310,7062200049,Maestría en Tecnologías de Información,Maestría,062000
311,7062200074,Maestría en Cómputo Aplicado,Maestría,062000
312,7071000033,Maestría en Ciencias en Ingeniería del Agua y la Energía,Maestría,071000
313,7071000035,Maestría en Ingeniería en Energías Renovables,Maestría,071000
314,7071200009,Maestría en Ciencias en Ingeniería Eléctrica,Maestría,071000
315,7071200021,Maestría en Ingeniería del Agua y la Energía,Maestría,071000
316,7071300003,Maestría en Ingeniería Mecatrónica,Maestría,071000
317,7071300026,Maestría en Ciencias en Ingeniería Electrónica y Computación,Maestría,071000
318,7071300053,Maestria en Ciencias en Robotica e Inteligencia Artificial,Maestría,071000
319,7071400012,Maestría en Ciencias en Procesos Biotecnológicos,Maestría,071000
320,7071600020,Maestría en Ciencia de Productos Forestales,Maestría,071000
321,7073100005,Maestría en Desarrollo Local y Territorio,Maestría,073000
322,7073100082,Maestría en Urbanismo y Territorio,Maestría,073000
323,7073100088,Maestría en Ciencias de la Arquitectura,Maestría,073000
324,7073100089,Maestría en Procesos y Expresión Gráfica en la Proyectación Arquitectónica-Urbana,Maestría,073000
325,7081000006,Maestría en Tecnología de Semillas,Maestría,081000
326,7081100051,Maestría en Agricultura Protegida,Maestría,081000
327,7081100056,Maestría Interinstitucional en Producción Pecuaria,Maestría,081000
328,7081100068,Maestría en Produccion Animal Sustentable,Maestría,081000
329,7081100073,Maestría en Ciencias Agropecuarias,Maestría,081000
330,7081100078,Maestría en Ciencias con Orientación en Ciencias Biológicas y Agropecuarias,Maestría,081000
331,7091316004,"Maestría en Nutrición Humana, Orientación Materno Infantil",Maestría,091000
332,7091325001,Maestría en Ciencias de la Salud en el Trabajo,Maestría,091000
333,7093207003,Maestría en Patología y Medicina Bucal,Maestría,093000
334,7094200035,Maestría en Ciencia del Comportamiento,Maestría,094000
335,7095000011,Maestría en Microbiología Médica,Maestría,095000
336,7095600007,Maestría en Ciencias de la Salud Ambiental,Maestría,095000
337,7095600030,Maestría en Salud Pública,Maestría,095000
338,7095600046,Maestría en Ciencias Socio Médicas,Maestría,095000
339,7095600068,Maestria en Educacion en Ciencias de la Salud,Maestría,095000
340,7101000006,Maestría en Actividad Física y Estilo de Vida,Maestría,101000
341,7101500016,Maestría en Ciencias en Inocuidad Alimentaria,Maestría,101000
342,7102100006,"Maestría en Movilidad Urbana, Transporte y Territorio",Maestría,102000
343,7103100003,Maestría en Ergonomía,Maestría,103000
344,7103100010,Maestría en Gestión de la Seguridad y Salud en el Trabajo,Maestría,103000
345,8011000006,Doctorado en Cognición y Aprendizaje,Doctorado,011000
346,8011400005,Doctorado en Sistemas y Ambientes Educativos,Doctorado,011000
347,8011500003,Doctorado en Educación,Doctorado,011000
348,8021000010,Doctorado en Arte y Cultura,Doctorado,021000
349,8021000011,Doctorado en Gestión de la Cultura,Doctorado,021000
350,8022000001,Doctorado en Humanidades,Doctorado,022000
351,8022500004,Doctorado en Historia,Doctorado,022000
352,8031000001,Doctorado en Ciencias Sociales,Doctorado,031000
353,8031100002,Doctorado en Ciencia del Comportamiento,Doctorado,031000
354,8031100026,Doctorado en Psicología con Orientación en Calidad de Vida y Salud,Doctorado,031000
355,8031300003,Doctorado en Ciencia Política,Doctorado,031000
356,8031300020,Doctorado en Políticas Públicas y Desarrollo,Doctorado,031000
357,8031400014,Doctorado en Estudios Económicos,Doctorado,031000
358,8033100003,Doctorado en Derechos Humanos,Doctorado,033000
359,8033100009,Doctorado en Derecho,Doctorado,033000
360,8041400003,Doctorado en Estudios Fiscales,Doctorado,041000
361,8042000005,Doctorado en Ciencias de la Administración,Doctorado,042000
362,8042000014,Doctorado en Gestión y Negocios,Doctorado,042000
363,8042100049,Doctorado en Innovación para el Hábitat Sustentable,Doctorado,042000
364,8042100051,Doctorado en Innovación y Sustentabilidad en los Negocios,Doctorado,042000
365,8042200004,"Doctorado en Ciencias para el Desarrollo, la Sustentabilidad y el Turismo",Doctorado,042000
366,8042500005,Doctorado en Gestión de la Educación Superior,Doctorado,042000
367,8051100012,Doctorado en Genética Humana,Doctorado,051000
368,8051200017,Doctorado en Farmacología,Doctorado,051000
369,8051200020,Doctorado en Ciencias en Biología Molecular en Medicina,Doctorado,051000
370,8051300007,"Doctorado en Ciencias en Biosistemática, Ecología y Manejo de Recursos Naturales y Agrícolas",Doctorado,051000
371,8052000007,Doctorado en Ciencias en Microbiología y la Biotecnología Molecular,Doctorado,052000
