name,row,ciclo,clave_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,disc_fis_motriz_h,disc_fis_motriz_m,disc_fis_motriz_nb,disc_fis_motriz_t,disc_intelectual_h,disc_intelectual_m,disc_intelectual_nb,disc_intelectual_t,disc_multiple_h,disc_multiple_m,disc_multiple_nb,disc_multiple_t,disc_aud_hipoacusia_h,disc_aud_hipoacusia_m,disc_aud_hipoacusia_nb,disc_aud_hipoacusia_t,disc_aud_sordera_h,disc_aud_sordera_m,disc_aud_sordera_nb,disc_aud_sordera_t,disc_vis_baja_vision_h,disc_vis_baja_vision_m,disc_vis_baja_vision_nb,disc_vis_baja_vision_t,disc_vis_ceguera_h,disc_vis_ceguera_m,disc_vis_ceguera_nb,disc_vis_ceguera_t,disc_psicosocial_h,disc_psicosocial_m,disc_psicosocial_nb,disc_psicosocial_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
61 2022-2023 14MMS0878P BGC,61,2022-2023,14MMS0878P,BGC,Escolarizada,108,109,,217,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,0,0,,0,1,0,,1,0,0,,0
62 2022-2023 14MMS0844Z BGC,62,2022-2023,14MMS0844Z,BGC,Escolarizada,733,711,,1444,0,1,,1,2,3,,5,0,0,,0,0,2,,2,1,0,,1,6,11,,17,0,2,,2,1,0,,1,10,19,,29,0,0,,0
63 2022-2023 14MMS0844Z BGC,63,2022-2023,14MMS0844Z,BGC,Escolarizada,693,748,,1441,0,1,,1,0,1,,1,0,0,,0,0,0,,0,1,3,,4,3,9,,12,1,1,,2,1,0,,1,6,15,,21,0,1,,1
64 2022-2023 14MMS0607X BGAI,64,2022-2023,14MMS0607X,BGAI,Escolarizada,116,74,,190,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,3,,5,0,0,,0,1,0,,1,3,3,,6,0,0,,0
65 2022-2023 14MMS0607X BGC,65,2022-2023,14MMS0607X,BGC,Escolarizada,611,775,,1386,1,1,,2,2,1,,3,0,0,,0,0,1,,1,0,0,,0,11,19,,30,0,0,,0,0,0,,0,14,22,,36,1,2,,3
66 2022-2023 14MMS0607X BGC,66,2022-2023,14MMS0607X,BGC,Escolarizada,625,757,,1382,1,1,,2,2,0,,2,0,0,,0,0,0,,0,0,0,,0,10,9,,19,0,0,,0,1,0,,1,14,10,,24,1,0,,1
67 2022-2023 14MMS0645Z BGAI,67,2022-2023,14MMS0645Z,BGAI,Escolarizada,103,80,,183,0,0,,0,1,1,,2,0,0,,0,0,0,,0,0,0,,0,3,2,,5,0,0,,0,0,0,,0,4,3,,7,2,0,,2
68 2022-2023 14MMS0645Z BGC,68,2022-2023,14MMS0645Z,BGC,Escolarizada,657,997,,1654,2,0,,2,1,0,,1,0,0,,0,0,1,,1,0,1,,1,10,11,,21,0,1,,1,0,0,,0,13,14,,27,0,0,,0
69 2022-2023 14MMS0645Z BGC,69,2022-2023,14MMS0645Z,BGC,Escolarizada,661,991,,1652,2,3,,5,1,0,,1,0,0,,0,0,0,,0,0,0,,0,13,18,,31,0,1,,1,0,0,,0,16,22,,38,1,0,,1
70 2022-2023 14MMS0623O BGAI,70,2022-2023,14MMS0623O,BGAI,Escolarizada,46,40,,86,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,0,,2,0,0,,0,0,0,,0,2,0,,2,0,0,,0
71 2022-2023 14MMS0623O BGC,71,2022-2023,14MMS0623O,BGC,Escolarizada,870,1091,,1961,1,1,,2,1,0,,1,0,0,,0,0,0,,0,0,1,,1,12,19,,31,1,0,,1,0,0,,0,15,21,,36,0,0,,0
72 2022-2023 14MMS0623O BGC,72,2022-2023,14MMS0623O,BGC,Escolarizada,872,1087,,1959,1,2,,3,0,1,,1,0,0,,0,0,0,,0,1,0,,1,12,13,,25,0,2,,2,2,1,,3,16,19,,35,0,1,,1
73 2022-2023 14MMS0614G BGC,73,2022-2023,14MMS0614G,BGC,Escolarizada,1007,1435,,2442,0,1,,1,3,0,,3,0,0,,0,2,2,,4,0,1,,1,16,35,,51,0,1,,1,0,0,,0,21,40,,61,0,0,,0
74 2022-2023 14MMS0614G BGC,74,2022-2023,14MMS0614G,BGC,Escolarizada,1066,1374,,2440,2,2,,4,3,3,,6,0,0,,0,1,0,,1,0,0,,0,10,22,,32,0,0,,0,1,0,,1,17,27,,44,1,1,,2
75 2022-2023 14MMS0643B BGAI,75,2022-2023,14MMS0643B,BGAI,Escolarizada,11,16,,27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
76 2022-2023 14MMS0643B BGC,76,2022-2023,14MMS0643B,BGC,Escolarizada,227,252,,479,1,0,,1,1,0,,1,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,3,0,,3,0,1,,1
77 2022-2023 14MMS0643B BGC,77,2022-2023,14MMS0643B,BGC,Escolarizada,230,246,,476,3,0,,3,0,0,,0,0,0,,0,0,0,,0,1,1,,2,1,0,,1,0,0,,0,0,0,,0,5,1,,6,0,0,,0
78 2022-2023 14MMS0705Y BGAI,78,2022-2023,14MMS0705Y,BGAI,Escolarizada,9,28,,37,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
79 2022-2023 14MMS0705Y BGC,79,2022-2023,14MMS0705Y,BGC,Escolarizada,175,226,,401,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,2,1,,3,0,1,,1,0,0,,0,3,2,,5,0,1,,1
80 2022-2023 14MMS0705Y BGC,80,2022-2023,14MMS0705Y,BGC,Escolarizada,165,232,,397,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,4,,4,0,0,,0,0,0,,0,0,5,,5,0,0,,0
81 2022-2023 14MMS0617D BGC,81,2022-2023,14MMS0617D,BGC,Escolarizada,242,329,,571,1,1,,2,1,0,,1,0,0,,0,0,0,,0,0,0,,0,1,5,,6,0,0,,0,0,0,,0,3,6,,9,0,0,,0
82 2022-2023 14MMS0617D BGC,82,2022-2023,14MMS0617D,BGC,Escolarizada,254,313,,567,0,1,,1,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,3,,3,0,0,,0,0,0,,0,0,5,,5,0,0,,0
83 2022-2023 14MMS0662Q BGC,83,2022-2023,14MMS0662Q,BGC,Escolarizada,104,137,,241,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
84 2022-2023 14MMS0663P BGC,84,2022-2023,14MMS0663P,BGC,Escolarizada,34,40,,74,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,2,,2,0,0,,0
85 2022-2023 14MMS0663P BGC,85,2022-2023,14MMS0663P,BGC,Escolarizada,40,31,,71,0,0,,0,2,0,,2,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,0,,2,0,0,,0
86 2022-2023 14MMS0664O BGC,86,2022-2023,14MMS0664O,BGC,Escolarizada,70,86,,156,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,1,,1,0,0,,0
87 2022-2023 14MMS0665N BGC,87,2022-2023,14MMS0665N,BGC,Escolarizada,52,79,,131,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,0,,2,0,0,,0,0,0,,0,2,0,,2,0,0,,0
88 2022-2023 14MMS0665N BGC,88,2022-2023,14MMS0665N,BGC,Escolarizada,56,73,,129,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0
89 2022-2023 14MMS0619B BGAI,89,2022-2023,14MMS0619B,BGAI,Escolarizada,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
90 2022-2023 14MMS0619B BGC,90,2022-2023,14MMS0619B,BGC,Escolarizada,295,416,,711,0,1,,1,1,0,,1,0,0,,0,1,0,,1,2,0,,2,12,10,,22,0,0,,0,0,0,,0,16,11,,27,0,0,,0
91 2022-2023 14MMS0619B BGC,91,2022-2023,14MMS0619B,BGC,Escolarizada,333,375,,708,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,9,4,,13,1,1,,2,0,0,,0,11,5,,16,0,0,,0
