name,row,ciclo,cve_plantel,cve_programa,modalidad,egresados_h,egresados_m,egresados_nb,egresados_t,e_discapacidad_h,e_discapacidad_m,e_discapacidad_nb,e_discapacidad_t,e_habla_indigena_h,e_habla_indigena_m,e_habla_indigena_nb,e_habla_indigena_t,titulados_h,titulados_m,titulados_nb,titulados_t,ti_discapacidad_h,ti_discapacidad_m,ti_discapacidad_nb,ti_discapacidad_t,ti_habla_indigena_h,ti_habla_indigena_m,ti_habla_indigena_nb,ti_habla_indigena_t,disc_vis_baja_vision_h,disc_vis_baja_vision_m,disc_vis_baja_vision_nb,disc_vis_baja_vision_t,disc_vis_ceguera_h,disc_vis_ceguera_m,disc_vis_ceguera_nb,disc_vis_ceguera_t,disc_psicosocial_h,disc_psicosocial_m,disc_psicosocial_nb,disc_psicosocial_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
94 2022-2023 14MMS0667L BGC,94,2022-2023,14MMS0667L,BGC,Escolarizada,11,22,,33,,,,0,,,,0,,,,,,,,,,,,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
95 2022-2023 14MMS0667L BGC,95,2022-2023,14MMS0667L,BGC,Escolarizada,12,20,,32,,,,0,,,,0,,,,,,,,,,,,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
96 2022-2023 14MMS0728I BGC,96,2022-2023,14MMS0728I,BGC,Escolarizada,17,15,,32,,,,1,,,,0,,,,,,,,,,,,,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0
97 2022-2023 14MMS0718B BGC,97,2022-2023,14MMS0718B,BGC,Escolarizada,20,29,,49,,,,0,,,,0,,,,,,,,,,,,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
98 2022-2023 14MMS0718B BGC,98,2022-2023,14MMS0718B,BGC,Escolarizada,22,27,,49,,,,0,,,,0,,,,,,,,,,,,,0,1,,1,0,0,,0,0,0,,0,0,1,,1,0,0,,0
99 2022-2023 14MMS0750K BGC,99,2022-2023,14MMS0750K,BGC,Escolarizada,25,38,,63,,,,0,,,,0,,,,,,,,,,,,,8,7,,15,0,0,,0,1,0,,1,10,8,,18,0,0,,0
100 2022-2023 14MMS0618C BGAI,100,2022-2023,14MMS0618C,BGAI,Escolarizada,5,6,,11,,,,0,,,,0,,,,,,,,,,,,,0,1,,1,0,0,,0,0,0,,0,0,1,,1,0,0,,0
101 2022-2023 14MMS0618C BGC,101,2022-2023,14MMS0618C,BGC,Escolarizada,79,110,,189,,,,3,,,,1,,,,,,,,,,,,,3,3,,6,0,1,,1,0,0,,0,6,4,,10,0,0,,0
102 2022-2023 14MMS0618C BGC,102,2022-2023,14MMS0618C,BGC,Escolarizada,70,118,,188,,,,6,,,,0,,,,,,,,,,,,,0,1,,1,0,4,,4,0,0,,0,0,5,,5,0,0,,0
103 2022-2023 14MMS0747X BGC,103,2022-2023,14MMS0747X,BGC,Escolarizada,36,51,,87,,,,0,,,,0,,,,,,,,,,,,,1,3,,4,0,0,,0,0,0,,0,1,3,,4,1,1,,2
104 2022-2023 14MMS0668K BGC,104,2022-2023,14MMS0668K,BGC,Escolarizada,34,47,,81,,,,1,,,,0,,,,,,,,,,,,,0,2,,2,0,0,,0,0,0,,0,0,2,,2,0,1,,1
