name,row,ciclo,entidad_universitaria,nivel_estudiante,por_total,por_hombres,por_mujeres,por_personas_nb,por_dif_total,por_dif_hombres,por_dif_mujeres,por_dif_personas_nb
123 Porcentaje en PEC -131 - 2020-2021 - CUCSH - Posgrado,131,2020-2021,CUCSH,Posgrado,"97,09","97,01","97,17",,"2,91","2,99","2,83",
123 Porcentaje en PEC -132 - 2020-2021 - CUCS - Posgrado,132,2020-2021,CUCS,Posgrado,"67,88","71,78","64,07",,"32,12","28,22","35,93",
123 Porcentaje en PEC -133 - 2020-2021 - CUAAD - Posgrado,133,2020-2021,CUAAD,Posgrado,"83,33","83,19","83,48",,"16,67","16,81","16,52",
123 Porcentaje en PEC -134 - 2020-2021 - CUCBA - Posgrado,134,2020-2021,CUCBA,Posgrado,"93,00","90,70","95,61",,"7,00","9,30","4,39",
123 Porcentaje en PEC -135 - 2020-2021 - CUALTOS - Posgrado,135,2020-2021,CUALTOS,Posgrado,"69,31","51,22","81,67",,"30,69","48,78","18,33",
123 Porcentaje en PEC -136 - 2020-2021 - CUCIÉNEGA - Posgrado,136,2020-2021,CUCIÉNEGA,Posgrado,"26,67","28,21","23,81",,"73,33","71,79","76,19",
123 Porcentaje en PEC -137 - 2020-2021 - CUSUR - Posgrado,137,2020-2021,CUSUR,Posgrado,"76,15","65,45","84,00",,"23,85","34,55","16,00",
123 Porcentaje en PEC -138 - 2020-2021 - CUCOSTA - Posgrado,138,2020-2021,CUCOSTA,Posgrado,"76,54","77,27","75,82",,"23,46","22,73","24,18",
123 Porcentaje en PEC -139 - 2020-2021 - CUCOSTASUR - Posgrado,139,2020-2021,CUCOSTASUR,Posgrado,"48,96","42,57","56,04",,"51,04","57,43","43,96",
123 Porcentaje en PEC -140 - 2020-2021 - CUVALLES - Posgrado,140,2020-2021,CUVALLES,Posgrado,"85,71","76,47","95,74",,"14,29","23,53","4,26",
123 Porcentaje en PEC -141 - 2020-2021 - CUNORTE - Posgrado,141,2020-2021,CUNORTE,Posgrado,"0,00","0,00","0,00",,"100,00","100,00","100,00",
123 Porcentaje en PEC -142 - 2020-2021 - CULAGOS - Posgrado,142,2020-2021,CULAGOS,Posgrado,"75,76","83,33","55,56",,"24,24","16,67","44,44",
123 Porcentaje en PEC -143 - 2020-2021 - CUTONALÁ - Posgrado,143,2020-2021,CUTONALÁ,Posgrado,"52,14","51,65","53,06",,"47,86","48,35","46,94",
123 Porcentaje en PEC -144 - 2020-2021 - SUV - Posgrado,144,2020-2021,SUV,Posgrado,"39,50","34,92","44,51",,"60,50","65,08","55,49",
123 Porcentaje en PEC -145 - 2021-2022 - CUCEA - Posgrado,145,2021-2022,CUCEA,Posgrado,"81,30","77,03","86,04",,"18,70","22,97","13,96",
123 Porcentaje en PEC -146 - 2021-2022 - CUCEI - Posgrado,146,2021-2022,CUCEI,Posgrado,"99,40","99,52","99,22",,"0,60","0,48","0,78",
123 Porcentaje en PEC -147 - 2021-2022 - CUCSH - Posgrado,147,2021-2022,CUCSH,Posgrado,"98,08","98,49","97,73",,"1,92","1,51","2,27",
123 Porcentaje en PEC -148 - 2021-2022 - CUCS - Posgrado,148,2021-2022,CUCS,Posgrado,"69,43","73,00","66,33",,"30,57","27,00","33,67",
123 Porcentaje en PEC -149 - 2021-2022 - CUAAD - Posgrado,149,2021-2022,CUAAD,Posgrado,"81,88","81,25","82,50",,"18,13","18,75","17,50",
123 Porcentaje en PEC -150 - 2021-2022 - CUCBA - Posgrado,150,2021-2022,CUCBA,Posgrado,"89,54","84,17","94,96",,"10,46","15,83","5,04",
123 Porcentaje en PEC -151 - 2021-2022 - CUALTOS - Posgrado,151,2021-2022,CUALTOS,Posgrado,"53,78","35,09","70,97",,"46,22","64,91","29,03",
123 Porcentaje en PEC -152 - 2021-2022 - CUCIÉNEGA - Posgrado,152,2021-2022,CUCIÉNEGA,Posgrado,"10,71","8,57","14,29",,"89,29","91,43","85,71",
123 Porcentaje en PEC -153 - 2021-2022 - CUSUR - Posgrado,153,2021-2022,CUSUR,Posgrado,"68,60","61,36","72,73",,"31,40","38,64","27,27",
123 Porcentaje en PEC -154 - 2021-2022 - CUCOSTA - Posgrado,154,2021-2022,CUCOSTA,Posgrado,"83,04","84,52","81,61",,"16,96","15,48","18,39",
123 Porcentaje en PEC -155 - 2021-2022 - CUCOSTASUR - Posgrado,155,2021-2022,CUCOSTASUR,Posgrado,"56,60","53,57","60,00",,"43,40","46,43","40,00",
123 Porcentaje en PEC -156 - 2021-2022 - CUVALLES - Posgrado,156,2021-2022,CUVALLES,Posgrado,"78,65","72,00","87,18",,"21,35","28,00","12,82",
123 Porcentaje en PEC -157 - 2021-2022 - CUNORTE - Posgrado,157,2021-2022,CUNORTE,Posgrado,"0,00","0,00","0,00",,"100,00","100,00","100,00",
