name,row,ciclo,anio,calendario,clave_plantel,cve_programa,aspirantes_h,aspirantes_m,aspirantes_nb,aspirantes_t,admitidos_h,admitidos_m,admitidos_nb,admitidos_t,no_admitidos_h,no_admitidos_m,no_admitidos_nb,no_admitidos_t,por_admision,cupo,puntaje_minimo
13 Admisión 2024A 278 14USU0110G 5061000015,278,2024-2025,2024,B,14USU0110G,5061000015,,,,156,,,,149,,,,7,95.51282051,162,60
13 Admisión 2024A 279 14USU0110G 5062200105,279,2024-2025,2024,B,14USU0110G,5062200105,,,,109,,,,102,,,,7,93.57798165,109,60
13 Admisión 2024A 280 14USU0230T 5033200024,280,2024-2025,2024,B,14USU0230T,5033200024,,,,139,,,,37,,,,102,26.61870504,37,138.13
13 Admisión 2024A 281 14USU0230T 5093100002,281,2024-2025,2024,B,14USU0230T,5093100002,,,,1601,,,,156,,,,1445,9.743910056,156,166.7667
13 Admisión 2024A 282 14USU0230T 5101100015,282,2024-2025,2024,B,14USU0230T,5101100015,,,,481,,,,186,,,,295,38.66943867,186,126.94
13 Admisión 2024A 283 14USU0230T 5092100006,283,2024-2025,2024,B,14USU0230T,5092100006,,,,955,,,,360,,,,595,37.69633508,360,130.3633
13 Admisión 2024A 284 14USU0230T 5092100006,284,2024-2025,2024,B,14USU0230T,5092100006,,,,72,,,,72,,,,0,100,72,74
13 Admisión 2024A 285 14USU0230T 5094200006,285,2024-2025,2024,B,14USU0230T,5094200006,,,,568,,,,124,,,,444,21.83098592,124,150.0767
13 Admisión 2024A 286 14USU0230T 5094300009,286,2024-2025,2024,B,14USU0230T,5094300009,,,,110,,,,34,,,,76,30.90909091,34,133.1667
13 Admisión 2024A 287 14USU0230T 5031100007,287,2024-2025,2024,B,14USU0230T,5031100007,,,,1687,,,,218,,,,1469,12.92234736,218,162.8367
13 Admisión 2024A 288 14USU0230T 5094100009,288,2024-2025,2024,B,14USU0230T,5094100009,,,,614,,,,67,,,,547,10.91205212,67,156.2767
13 Admisión 2024A 289 14USU0230T 5091100011,289,2024-2025,2024,B,14USU0230T,5091100011,,,,3488,,,,367,,,,3121,10.52178899,367,178.7633
13 Admisión 2024A 290 14USU0230T 4103100001,290,2024-2025,2024,B,14USU0230T,4103100001,,,,134,,,,62,,,,72,46.26865672,62,129.15
13 Admisión 2024A 291 14USU0230T 4103100001,291,2024-2025,2024,B,14USU0230T,4103100001,,,,27,,,,27,,,,0,100,27,71
13 Admisión 2024A 292 14USU0230T 4093100005,292,2024-2025,2024,B,14USU0230T,4093100005,,,,103,,,,63,,,,40,61.16504854,63,121.4633
13 Admisión 2024A 293 14USU0230T 4095300010,293,2024-2025,2024,B,14USU0230T,4095300010,,,,117,,,,94,,,,23,80.34188034,94,111
13 Admisión 2024A 294 14USU0230T 4094100010,294,2024-2025,2024,B,14USU0230T,4094100010,,,,27,,,,27,,,,0,100,32,101.4267
13 Admisión 2024A 295 14USU0010H 5033100003,295,2024-2025,2024,B,14USU0010H,5033100003,,,,1062,,,,421,,,,641,39.64218456,421,136.9167
13 Admisión 2024A 296 14USU0010H 5033100003,296,2024-2025,2024,B,14USU0010H,5033100003,,,,288,,,,200,,,,88,69.44444444,200,115.75
13 Admisión 2024A 297 14USU0010H 5031200004,297,2024-2025,2024,B,14USU0010H,5031200004,,,,39,,,,35,,,,4,89.74358974,35,107.7967
