name,row,ciclo,clave_plantel,cve_programa,modalidad,egresados_h,egresados_m,egresados_nb,egresados_t,e_discapacidad_h,e_discapacidad_m,e_discapacidad_nb,e_discapacidad_t,e_habla_indigena_h,e_habla_indigena_m,e_habla_indigena_nb,e_habla_indigena_t
551 2020-2021 14MMS0696G BGC,551,2020-2021,14MMS0696G,BGC,Escolarizada,56,93,,149,,,,0,,,,0
552 2020-2021 14MMS0697F BGC,552,2020-2021,14MMS0697F,BGC,Escolarizada,16,30,,46,,,,0,,,,0
553 2020-2021 14MMS0698E BGC,553,2020-2021,14MMS0698E,BGC,Escolarizada,52,59,,111,,,,0,,,,0
554 2020-2021 14MMS0699D BGC,554,2020-2021,14MMS0699D,BGC,Escolarizada,50,55,,105,,,,0,,,,0
555 2020-2021 14MMS0700C BGC,555,2020-2021,14MMS0700C,BGC,Escolarizada,22,34,,56,,,,0,,,,0
556 2020-2021 14MMS0701B BGC,556,2020-2021,14MMS0701B,BGC,Escolarizada,71,103,,174,,,,1,,,,0
557 2020-2021 14MMS0702A BGC,557,2020-2021,14MMS0702A,BGC,Escolarizada,15,29,,44,,,,0,,,,0
558 2020-2021 14MMS0703Z BGC,558,2020-2021,14MMS0703Z,BGC,Escolarizada,40,40,,80,,,,0,,,,0
559 2020-2021 14MMS0704Z BGC,559,2020-2021,14MMS0704Z,BGC,Escolarizada,21,14,,35,,,,0,,,,0
560 2020-2021 14MMS0684B BGC,560,2020-2021,14MMS0684B,BGC,Escolarizada,15,20,,35,,,,1,,,,0
561 2020-2021 14MMS0685A BGAI,561,2020-2021,14MMS0685A,BGAI,Escolarizada,0,1,,1,,,,0,,,,0
562 2020-2021 14MMS0685A BGC,562,2020-2021,14MMS0685A,BGC,Escolarizada,24,41,,65,,,,0,,,,0
563 2020-2021 14MMS0686Z BGC,563,2020-2021,14MMS0686Z,BGC,Escolarizada,35,29,,64,,,,0,,,,21
564 2020-2021 14MMS0798D BGC,564,2020-2021,14MMS0798D,BGC,Escolarizada,10,20,,30,,,,0,,,,0
565 2020-2021 14MMS0832U BGC,565,2020-2021,14MMS0832U,BGC,Escolarizada,13,24,,37,,,,0,,,,0
566 2020-2021 14MMS0767K BGC,566,2020-2021,14MMS0767K,BGC,Escolarizada,87,80,,167,,,,0,,,,0
567 2020-2021 14MMS0768J BGC,567,2020-2021,14MMS0768J,BGC,Escolarizada,37,31,,68,,,,0,,,,0
568 2020-2021 14MMS0769I BGC,568,2020-2021,14MMS0769I,BGC,Escolarizada,36,47,,83,,,,0,,,,0
569 2020-2021 14MMS0770Y BGC,569,2020-2021,14MMS0770Y,BGC,Escolarizada,13,13,,26,,,,0,,,,0
570 2020-2021 14MMS0771X BGC,570,2020-2021,14MMS0771X,BGC,Escolarizada,37,48,,85,,,,0,,,,0
571 2020-2021 14MMS0772W BGC,571,2020-2021,14MMS0772W,BGC,Escolarizada,10,14,,24,,,,0,,,,0
572 2020-2021 14MMS0773V BGC,572,2020-2021,14MMS0773V,BGC,Escolarizada,151,199,,350,,,,1,,,,0
573 2020-2021 14MMS0749V BGAI,573,2020-2021,14MMS0749V,BGAI,Escolarizada,40,52,,92,,,,0,,,,2
574 2020-2021 14MMS0750K BGC,574,2020-2021,14MMS0750K,BGC,Escolarizada,31,37,,68,,,,0,,,,0
575 2020-2021 14MMS0751J BGC,575,2020-2021,14MMS0751J,BGC,Escolarizada,5,9,,14,,,,0,,,,14
576 2020-2021 14MMS0752I BGC,576,2020-2021,14MMS0752I,BGC,Escolarizada,157,291,,448,,,,1,,,,0
577 2020-2021 14MMS0753H BGC,577,2020-2021,14MMS0753H,BGC,Escolarizada,244,364,,608,,,,1,,,,0
578 2020-2021 14MMS0754G BGC,578,2020-2021,14MMS0754G,BGC,Escolarizada,26,33,,59,,,,0,,,,0
579 2020-2021 14MMS0739O BGC,579,2020-2021,14MMS0739O,BGC,Escolarizada,29,41,,70,,,,0,,,,0
580 2020-2021 14MMS0740D BGC,580,2020-2021,14MMS0740D,BGC,Escolarizada,16,13,,29,,,,0,,,,0
581 2020-2021 14MMS0741C BGC,581,2020-2021,14MMS0741C,BGC,Escolarizada,21,26,,47,,,,0,,,,0
582 2020-2021 14MMS0742B BGC,582,2020-2021,14MMS0742B,BGC,Escolarizada,14,15,,29,,,,0,,,,0
583 2020-2021 14MMS0743A BGC,583,2020-2021,14MMS0743A,BGC,Escolarizada,24,12,,36,,,,0,,,,0
584 2020-2021 14MMS0744Z BGC,584,2020-2021,14MMS0744Z,BGC,Escolarizada,82,94,,176,,,,0,,,,0
585 2020-2021 14MMS0745Z BGC,585,2020-2021,14MMS0745Z,BGC,Escolarizada,16,15,,31,,,,0,,,,0
586 2020-2021 14MMS0746Y BGC,586,2020-2021,14MMS0746Y,BGC,Escolarizada,30,45,,75,,,,0,,,,0
587 2020-2021 14MMS0747X BGC,587,2020-2021,14MMS0747X,BGC,Escolarizada,39,31,,70,,,,0,,,,0
