name,row,ciclo,clave_plantel,cve_programa,modalidad,titulados_h,titulados_m,titulados_nb,titulados_t,ti_discapacidad_h,ti_discapacidad_m,ti_discapacidad_nb,ti_discapacidad_t,ti_habla_indigena_h,ti_habla_indigena_m,ti_habla_indigena_nb,ti_habla_indigena_t
18 2019-2020 14USU0003Y 5041400032,18,2019-2020,14USU0003Y,5041400032,Escolarizada,10,12,,22,,,,0,,,,0
19 2019-2020 14USU0003Y 5042000002,19,2019-2020,14USU0003Y,5042000002,Escolarizada,3,6,,9,,,,0,,,,0
20 2019-2020 14USU0008T 5031500008,20,2019-2020,14USU0008T,5031500008,Escolarizada,5,3,,8,,,,0,,,,0
21 2019-2020 14USU0008T 5033100003,21,2019-2020,14USU0008T,5033100003,Escolarizada,19,18,,37,,,,1,,,,0
22 2019-2020 14USU0008T 5041400032,22,2019-2020,14USU0008T,5041400032,Escolarizada,16,15,,31,,,,0,,,,0
23 2019-2020 14USU0008T 5042100012,23,2019-2020,14USU0008T,5042100012,Escolarizada,13,9,,22,,,,0,,,,0
24 2019-2020 14USU0008T 5052200002,24,2019-2020,14USU0008T,5052200002,Escolarizada,2,1,,3,,,,0,,,,0
25 2019-2020 14USU0008T 5061100001,25,2019-2020,14USU0008T,5061100001,Escolarizada,4,0,,4,,,,0,,,,0
26 2019-2020 14USU0008T 5071200009,26,2019-2020,14USU0008T,5071200009,Escolarizada,4,1,,5,,,,0,,,,0
27 2019-2020 14USU0008T 5091100011,27,2019-2020,14USU0008T,5091100011,Escolarizada,44,65,,109,,,,0,,,,0
28 2019-2020 14USU0008T 5095600005,28,2019-2020,14USU0008T,5095600005,Escolarizada,0,9,,9,,,,0,,,,0
29 2019-2020 14USU0009S 5033100003,29,2019-2020,14USU0009S,5033100003,Escolarizada,3,0,,3,,,,0,,,,0
30 2019-2020 14USU0009S 5042000002,30,2019-2020,14USU0009S,5042000002,Escolarizada,0,1,,1,,,,0,,,,0
31 2019-2020 14USU0010H 5031200031,31,2019-2020,14USU0010H,5031200031,Escolarizada,2,3,,5,,,,0,,,,0
32 2019-2020 14USU0010H 5031300010,32,2019-2020,14USU0010H,5031300010,Escolarizada,12,10,,22,,,,0,,,,0
33 2019-2020 14USU0010H 5031300014,33,2019-2020,14USU0010H,5031300014,Escolarizada,9,15,,24,,,,0,,,,0
34 2019-2020 14USU0010H 5031500010,34,2019-2020,14USU0010H,5031500010,Escolarizada,8,100,,108,,,,0,,,,0
35 2019-2020 14USU0003Y 5062200055,35,2019-2020,14USU0003Y,5062200055,Escolarizada,2,0,,2,,,,0,,,,0
36 2019-2020 14USU0003Y 5062200073,36,2019-2020,14USU0003Y,5062200073,Escolarizada,2,0,,2,,,,0,,,,0
37 2019-2020 14USU0003Y 5062200082,37,2019-2020,14USU0003Y,5062200082,Escolarizada,4,1,,5,,,,0,,,,0
38 2019-2020 14USU0003Y 5071300014,38,2019-2020,14USU0003Y,5071300014,Escolarizada,2,3,,5,,,,0,,,,0
39 2019-2020 14USU0003Y 5092100006,39,2019-2020,14USU0003Y,5092100006,Escolarizada,26,189,,215,,,,0,,,,0
40 2019-2020 14USU0003Y 5101600013,40,2019-2020,14USU0003Y,5101600013,Escolarizada,3,2,,5,,,,0,,,,0
41 2019-2020 14USU0004X 5011200004,41,2019-2020,14USU0004X,5011200004,No escolarizada,2,13,,15,,,,0,,,,0
42 2019-2020 14USU0004X 5011500002,42,2019-2020,14USU0004X,5011500002,No escolarizada,7,27,,34,,,,1,,,,0
43 2019-2020 14USU0004X 5021000007,43,2019-2020,14USU0004X,5021000007,No escolarizada,0,8,,8,,,,0,,,,0
44 2019-2020 14USU0004X 5032200012,44,2019-2020,14USU0004X,5032200012,No escolarizada,2,0,,2,,,,0,,,,0
45 2019-2020 14USU0004X 5042100065,45,2019-2020,14USU0004X,5042100065,No escolarizada,7,9,,16,,,,0,,,,0
46 2019-2020 14USU0004X 5062200105,46,2019-2020,14USU0004X,5062200105,No escolarizada,11,2,,13,,,,1,,,,0
47 2019-2020 14USU0004X 5104100015,47,2019-2020,14USU0004X,5104100015,No escolarizada,6,1,,7,,,,0,,,,0
