row,clave_carrera,nombre_carrera_911,nivel_educativo,campo_clasificacion,modalidad
153,5073200005,Ing. Civil,Licenciatura,Construcción e ingeniería civil,Escolarizada
154,5041100007,Ing. de Procesos y Comercio Internacional,Licenciatura,Negocios y comercio,Escolarizada
155,5042400005,Ing. en Administración Industrial,Licenciatura,Administración en el ámbito de la ingeniería y la construcción,Escolarizada
156,5051200024,Ing. en Biotecnología,Licenciatura,Bioquímica y biofísica,Escolarizada
157,5061100001,Ing. en Ciencias Computacionales,Licenciatura,Ciencias computacionales,Escolarizada
158,5061000002,Ing. en Computación,Licenciatura,Planes multidisciplinarios o generales del campo de innovación en tecnologías de la información y la comunicación,Escolarizada
159,5021500002,Ing. en Comunicación Multimedia,Licenciatura,Diseño y comunicación gráfica y editorial,Escolarizada
160,5062100009,Ing. en Comunicaciones y Electrónica,Licenciatura,Telecomunicaciones,Escolarizada
161,5071100005,Ing. en Diseño Industrial,Licenciatura,Mecánica y profesiones afines al trabajo metálico,Escolarizada
162,5052200021,Ing. en Diseño Molecular de Materiales,Licenciatura,Química,Escolarizada
163,5062200073,Ing. en Electrónica y Computación,Licenciatura,Informática,Escolarizada
164,5071200009,Ing. en Energía,Licenciatura,Electricidad y generación de energía,Escolarizada
165,5072400001,Ing. en Geofísica,Licenciatura,"Industria de la minería, extracción y metalurgia",Escolarizada
166,5071300091,Ing. en Instrumentación Electrónica y Nanosensores,Licenciatura,"Electrónica, automatización y aplicaciones de la mecánica-eléctrica",Escolarizada
167,5102100004,Ing. en Logística y Transporte,Licenciatura,Servicios de transporte,Escolarizada
168,5052200002,Ing. en Nanotecnología,Licenciatura,Química,Escolarizada
169,5041100009,Ing. en Negocios,Licenciatura,Negocios y comercio,Escolarizada
170,5073200010,Ing. en Obras y Servicios,Licenciatura,Construcción e ingeniería civil,Escolarizada
171,5051300005,Ing. en Recursos Naturales y Agropecuarios,Licenciatura,Ecología y ciencias ambientales,Escolarizada
172,5051100015,Ing. en Sistemas Biológicos,Licenciatura,Biología,Escolarizada
173,5081100050,Ing. en Sistemas Pecuarios,Licenciatura,Producción y explotación agrícola y ganadera,Escolarizada
174,5062100033,Ing. en Teleinformática,Licenciatura,Telecomunicaciones,Escolarizada
175,5062100034,Ing. en Telemática,Licenciatura,Telecomunicaciones,Escolarizada
176,5073200035,Ing. en Topografía Geomática,Licenciatura,Construcción e ingeniería civil,Escolarizada
177,5071000047,Ing. en Videojuegos,Licenciatura,"Planes multidisciplinarios o generales del campo de ingeniería mecánica, eléctrica, electrónica, química y profesiones afines",Escolarizada
178,5071200034,Ing. Fotónica,Licenciatura,Electricidad y generación de energía,Escolarizada
179,5071700019,Ing. Industrial,Licenciatura,Ingeniería industrial,Escolarizada
180,5062200055,Ing. Informática,Licenciatura,Informática,Escolarizada
181,5071300009,Ing. Mecánica Eléctrica,Licenciatura,"Electrónica, automatización y aplicaciones de la mecánica-eléctrica",Escolarizada
182,5071300014,Ing. Mecatrónica,Licenciatura,"Electrónica, automatización y aplicaciones de la mecánica-eléctrica",Escolarizada
183,5071400015,Ing. Química,Licenciatura,Ingeniería de procesos químicos,Escolarizada
184,5071300082,Ing. Robótica,Licenciatura,"Electrónica, automatización y aplicaciones de la mecánica-eléctrica",Escolarizada
185,5042000002,Lic. en Administración,Licenciatura,Planes multidisciplinarios o generales del campo de administración y gestión,Escolarizada
186,5042100065,Lic. en Administración de las Organizaciones,Licenciatura,Administración de empresas,No Escolarizada
187,5042100012,Lic. en Administración de Negocios,Licenciatura,Administración de empresas,Escolarizada
188,5041300007,Lic. en Administración Financiera y Sistemas,Licenciatura,"Finanzas, banca y seguros",Escolarizada
189,5042300027,Lic. en Administración Gubernamental y Políticas Públicas,Licenciatura,Administración pública,Escolarizada
190,5042100092,Lic. en Administración y Gestión Empresarial,Licenciatura,Administración de empresas,Escolarizada
191,5081100010,Lic. en Agrobiotecnología,Licenciatura,Producción y explotación agrícola y ganadera,Escolarizada
192,5041100021,Lic. en Agronegocios,Licenciatura,Negocios y comercio,Escolarizada
193,5031200004,Lic. en Antropología,Licenciatura,Sociología y antropología,Escolarizada
194,5073100009,Lic. en Arquitectura,Licenciatura,Arquitectura y urbanismo,Escolarizada
195,5021000002,Lic. en Artes,Licenciatura,Planes multidisciplinarios o generales del campo de artes,Escolarizada
196,5021400012,Lic. en Artes Audiovisuales,Licenciatura,Tecnologías audiovisuales para medios de comunicación,Escolarizada
