name,row,anio,entidad_universitaria,programa_educativo
422 PE que requieren PP-917 - 2021 - CUCIÉNEGA,917,2021,CUCIÉNEGA,Licenciatura en Químico Farmacéutico Biólogo
422 PE que requieren PP-918 - 2021 - CUCIÉNEGA,918,2021,CUCIÉNEGA,Licenciatura Médico Cirujano y partero
422 PE que requieren PP-919 - 2021 - CUCIÉNEGA,919,2021,CUCIÉNEGA,Licenciatura en Recursos Humanos
422 PE que requieren PP-920 - 2021 - CUCOSTA,920,2021,CUCOSTA,Abogado
422 PE que requieren PP-921 - 2021 - CUCOSTA,921,2021,CUCOSTA,Licenciatura en Administración
422 PE que requieren PP-922 - 2021 - CUCOSTA,922,2021,CUCOSTA,Licenciatura en Arquitectura
422 PE que requieren PP-923 - 2021 - CUCOSTA,923,2021,CUCOSTA,Licenciatura en Biología
422 PE que requieren PP-924 - 2021 - CUCOSTA,924,2021,CUCOSTA,Licenciatura en Contaduría Publica
422 PE que requieren PP-925 - 2021 - CUCOSTA,925,2021,CUCOSTA,Licenciatura en Enfermería
422 PE que requieren PP-926 - 2021 - CUCOSTA,926,2021,CUCOSTA,Licenciatura en Ingeniería Civil 
422 PE que requieren PP-927 - 2021 - CUCOSTA,927,2021,CUCOSTA,Licenciatura en Ingeniería en Comunicación Multimedia
422 PE que requieren PP-928 - 2021 - CUCOSTA,928,2021,CUCOSTA,Licenciatura en Ingeniería en Telemática
422 PE que requieren PP-929 - 2021 - CUCOSTA,929,2021,CUCOSTA,Licenciatura en Nutrición 
422 PE que requieren PP-930 - 2021 - CUCOSTA,930,2021,CUCOSTA,Licenciatura en Psicología
422 PE que requieren PP-931 - 2021 - CUCOSTA,931,2021,CUCOSTA,Licenciatura en Turismo
422 PE que requieren PP-932 - 2021 - CUCOSTA,932,2021,CUCOSTA,Licenciatura en Ciencias y Artes Culinarias
422 PE que requieren PP-933 - 2021 - CUCOSTASUR,933,2021,CUCOSTASUR,Abogado
422 PE que requieren PP-934 - 2021 - CUCOSTASUR,934,2021,CUCOSTASUR,Ingeniería de Procesos y Comercio Internacional
422 PE que requieren PP-935 - 2021 - CUCOSTASUR,935,2021,CUCOSTASUR,Ingeniería en Obras y Servicios
422 PE que requieren PP-936 - 2021 - CUCOSTASUR,936,2021,CUCOSTASUR,Ingeniería en Recursos Naturales y Agropecuarios
422 PE que requieren PP-937 - 2021 - CUCOSTASUR,937,2021,CUCOSTASUR,Ingeniería Mecatrónica
422 PE que requieren PP-938 - 2021 - CUCOSTASUR,938,2021,CUCOSTASUR,Ingeniero Agrónomo
422 PE que requieren PP-939 - 2021 - CUCOSTASUR,939,2021,CUCOSTASUR,Licenciatura en Administración
422 PE que requieren PP-940 - 2021 - CUCOSTASUR,940,2021,CUCOSTASUR,Licenciatura en Biología Marina
422 PE que requieren PP-941 - 2021 - CUCOSTASUR,941,2021,CUCOSTASUR,Licenciatura en Contaduría Pública
422 PE que requieren PP-942 - 2021 - CUCOSTASUR,942,2021,CUCOSTASUR,Licenciatura en Enfermería
422 PE que requieren PP-943 - 2021 - CUCOSTASUR,943,2021,CUCOSTASUR,Licenciatura en Nutrición
422 PE que requieren PP-944 - 2021 - CUCOSTASUR,944,2021,CUCOSTASUR,Licenciatura en Turismo
422 PE que requieren PP-945 - 2021 - CULAGOS,945,2021,CULAGOS,Abogado
422 PE que requieren PP-946 - 2021 - CULAGOS,946,2021,CULAGOS,Abogado Semiescolarizado
422 PE que requieren PP-947 - 2021 - CULAGOS,947,2021,CULAGOS,Ingeniería Bioquímica
422 PE que requieren PP-948 - 2021 - CULAGOS,948,2021,CULAGOS,Ingeniería en Electrónica y Computación
422 PE que requieren PP-949 - 2021 - CULAGOS,949,2021,CULAGOS,Ingeniería en Videojuegos
422 PE que requieren PP-950 - 2021 - CULAGOS,950,2021,CULAGOS,Ingeniería Industrial
422 PE que requieren PP-951 - 2021 - CULAGOS,951,2021,CULAGOS,Ingeniería Mecánica Eléctrica
422 PE que requieren PP-952 - 2021 - CULAGOS,952,2021,CULAGOS,Ingeniería Mecatrónica
422 PE que requieren PP-953 - 2021 - CULAGOS,953,2021,CULAGOS,Licenciatura en Administración
422 PE que requieren PP-954 - 2021 - CULAGOS,954,2021,CULAGOS,Licenciatura en Humanidades
422 PE que requieren PP-955 - 2021 - CULAGOS,955,2021,CULAGOS,Licenciatura en Lenguas y Culturas Extranjeras 
422 PE que requieren PP-956 - 2021 - CULAGOS,956,2021,CULAGOS,Licenciatura en Periodismo
422 PE que requieren PP-957 - 2021 - CULAGOS,957,2021,CULAGOS,Licenciatura en Psicología
422 PE que requieren PP-958 - 2021 - CULAGOS,958,2021,CULAGOS,Licenciatura en Tecnologías de la Información
422 PE que requieren PP-959 - 2021 - CUNORTE,959,2021,CUNORTE,Licenciatura en Turismo
422 PE que requieren PP-960 - 2021 - CUNORTE,960,2021,CUNORTE,Licenciatura en Agronegocios
422 PE que requieren PP-961 - 2021 - CUNORTE,961,2021,CUNORTE,Ingeniería Mecánica Eléctrica
422 PE que requieren PP-962 - 2021 - CUNORTE,962,2021,CUNORTE,Ingeniería en Electrónica y Computación
422 PE que requieren PP-963 - 2021 - CUNORTE,963,2021,CUNORTE,Ingeniería en Telemática
422 PE que requieren PP-964 - 2021 - CUNORTE,964,2021,CUNORTE,Licenciatura en Enfermería
422 PE que requieren PP-965 - 2021 - CUNORTE,965,2021,CUNORTE,Licenciatura en Nutrición
422 PE que requieren PP-966 - 2021 - CUNORTE,966,2021,CUNORTE,Licenciatura en Psicología
422 PE que requieren PP-967 - 2021 - CUNORTE,967,2021,CUNORTE,Abogado
422 PE que requieren PP-968 - 2021 - CUNORTE,968,2021,CUNORTE,Licenciatura en Antropología
422 PE que requieren PP-969 - 2021 - CUNORTE,969,2021,CUNORTE,Licenciatura en Administración
422 PE que requieren PP-970 - 2021 - CUNORTE,970,2021,CUNORTE,Licenciatura en Contaduría Pública
422 PE que requieren PP-971 - 2021 - CUSUR,971,2021,CUSUR,Abogado
422 PE que requieren PP-972 - 2021 - CUSUR,972,2021,CUSUR,Licenciatura en Agronegocios
422 PE que requieren PP-973 - 2021 - CUSUR,973,2021,CUSUR,Licenciatura en Agrobiotecnología
422 PE que requieren PP-974 - 2021 - CUSUR,974,2021,CUSUR,Licenciatura en Cirujano Dentista 
422 PE que requieren PP-975 - 2021 - CUSUR,975,2021,CUSUR,Licenciatura en Desarrollo Turístico Sustentable
