name,row,ciclo,clave_plantel,cve_programa,modalidad,egresados_h,egresados_m,egresados_nb,egresados_t,e_discapacidad_h,e_discapacidad_m,e_discapacidad_nb,e_discapacidad_t,e_habla_indigena_h,e_habla_indigena_m,e_habla_indigena_nb,e_habla_indigena_t,titulados_h,titulados_m,titulados_nb,titulados_t,ti_discapacidad_h,ti_discapacidad_m,ti_discapacidad_nb,ti_discapacidad_t,ti_habla_indigena_h,ti_habla_indigena_m,ti_habla_indigena_nb,ti_habla_indigena_t
443 2022-2023 14USU0005W 5021700002,443,2022-2023,14USU0005W,5021700002,Escolarizada,19,48,,67,,,,1,,,,0,10,16,,26,,,,0,,,,0
448 2022-2023 14USU0008T 5022500001,448,2022-2023,14USU0008T,5022500001,Escolarizada,21,44,,65,,,,3,,,,0,1,5,,6,,,,0,,,,0
452 2022-2023 14USU0008T 5041400032,452,2022-2023,14USU0008T,5041400032,Escolarizada,64,108,,172,,,,3,,,,0,43,63,,106,,,,0,,,,0
459 2022-2023 14USU0008T 5094200006,459,2022-2023,14USU0008T,5094200006,Escolarizada,14,94,,108,,,,0,,,,0,3,44,,47,,,,0,,,,0
472 2022-2023 14USU0010H 5031300010,472,2022-2023,14USU0010H,5031300010,Escolarizada,31,40,,71,,,,0,,,,0,33,18,,51,,,,0,,,,0
481 2022-2023 14USU0011G 5042000002,481,2022-2023,14USU0011G,5042000002,Escolarizada,0,0,,0,,,,0,,,,0,0,0,,0,,,,0,,,,0
485 2022-2023 14USU0011G 5071100005,485,2022-2023,14USU0011G,5071100005,Escolarizada,0,0,,0,,,,0,,,,0,0,0,,0,,,,0,,,,0
495 2022-2023 14USU0011G 5071300147,495,2022-2023,14USU0011G,5071300147,Dual,0,0,,0,,,,0,,,,0,0,0,,0,,,,0,,,,0
500 2022-2023 14USU0110G 4071300020,500,2022-2023,14USU0110G,4071300020,Escolarizada,0,0,,0,,,,0,,,,0,0,0,,0,,,,0,,,,0
506 2022-2023 14USU0110G 5062100009,506,2022-2023,14USU0110G,5062100009,Escolarizada,134,26,,160,,,,4,,,,0,101,14,,115,,,,0,,,,0
519 2022-2023 14USU0120N 4062100004,519,2022-2023,14USU0120N,4062100004,Escolarizada,0,0,,0,,,,0,,,,0,1,0,,1,,,,0,,,,0
524 2022-2023 14USU0120N 5041100056,524,2022-2023,14USU0120N,5041100056,Escolarizada,208,349,,557,,,,2,,,,0,99,194,,293,,,,1,,,,1
528 2022-2023 14USU0120N 5041400032,528,2022-2023,14USU0120N,5041400032,Escolarizada,215,309,,524,,,,5,,,,0,234,275,,509,,,,0,,,,1
532 2022-2023 14USU0120N 5051300020,532,2022-2023,14USU0120N,5051300020,Escolarizada,12,25,,37,,,,0,,,,0,11,23,,34,,,,0,,,,0
537 2022-2023 14USU0130U 5072100018,537,2022-2023,14USU0130U,5072100018,Escolarizada,21,32,,53,,,,0,,,,0,1,20,,21,,,,0,,,,0
543 2022-2023 14USU0140A 5021600024,543,2022-2023,14USU0140A,5021600024,Escolarizada,4,27,,31,,,,1,,,,0,2,24,,26,,,,0,,,,0
547 2022-2023 14USU0150H 4062100001,547,2022-2023,14USU0150H,4062100001,Escolarizada,0,0,,0,,,,0,,,,0,0,0,,0,,,,0,,,,0
