name,row,ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,disc_fis_motriz_h,disc_fis_motriz_m,disc_fis_motriz_nb,disc_fis_motriz_t,disc_intelectual_h,disc_intelectual_m,disc_intelectual_nb,disc_intelectual_t,disc_multiple_h,disc_multiple_m,disc_multiple_nb,disc_multiple_t,disc_aud_hipoacusia_h,disc_aud_hipoacusia_m,disc_aud_hipoacusia_nb,disc_aud_hipoacusia_t,disc_aud_sordera_h,disc_aud_sordera_m,disc_aud_sordera_nb,disc_aud_sordera_t,disc_vis_baja_vision_h,disc_vis_baja_vision_m,disc_vis_baja_vision_nb,disc_vis_baja_vision_t,disc_vis_ceguera_h,disc_vis_ceguera_m,disc_vis_ceguera_nb,disc_vis_ceguera_t,disc_psicosocial_h,disc_psicosocial_m,disc_psicosocial_nb,disc_psicosocial_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
405 2021-2022 14MMS0699D 3081100003,405,2021-2022,14MMS0699D,3081100003,Escolarizada,55,42,,97,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,0,,2,0,0,,0,0,0,,0,2,0,,2,0,0,,0
407 2021-2022 14MMS0751J 3081100019,407,2021-2022,14MMS0751J,3081100019,Escolarizada,152,29,,181,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,148,29,,177
408 2021-2022 14MMS0632W 3042100026,408,2021-2022,14MMS0632W,3042100026,Escolarizada,42,43,,85,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,0,0,,0,1,0,,1,0,0,,0
413 2021-2022 14MMS0776S 3073200001,413,2021-2022,14MMS0776S,3073200001,Escolarizada,218,131,,349,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,5,4,,9,0,0,,0,0,0,,0,5,4,,9,0,0,,0
424 2021-2022 14USU0230T 4095300010,424,2021-2022,14USU0230T,4095300010,Escolarizada,181,291,,472,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,4,5,,9,0,0,,0,0,0,,0,4,5,,9,0,0,,0
425 2021-2022 14USU0230T 4094100005,425,2021-2022,14USU0230T,4094100005,Escolarizada,100,270,,370,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,3,7,,10,0,0,,0,0,0,,0,3,8,,11,0,0,,0
429 2021-2022 14USU0150H 5041400032,429,2021-2022,14USU0150H,5041400032,Escolarizada,85,80,,165,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,3,,5,1,0,,1,0,0,,0,3,4,,7,0,0,,0
430 2021-2022 14USU0150H 5031100007,430,2021-2022,14USU0150H,5031100007,Escolarizada,39,140,,179,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,7,,8,0,0,,0,0,0,,0,1,8,,9,0,0,,0
435 2021-2022 14USU0200Z 5051300005,435,2021-2022,14USU0200Z,5051300005,Escolarizada,84,83,,167,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,1,1,,2,0,0,,0,0,0,,0,2,1,,3,0,3,,3
444 2021-2022 14USU0200Z 5094200006,444,2021-2022,14USU0200Z,5094200006,Escolarizada,42,222,,264,0,1,,1,0,0,,0,0,0,,0,1,0,,1,0,0,,0,2,6,,8,0,0,,0,0,0,,0,3,7,,10,0,1,,1
448 2021-2022 14USU0210F 5072400001,448,2021-2022,14USU0210F,5072400001,Escolarizada,71,50,,121,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,4,1,,5,1,0,,1,0,0,,0,5,1,,6,0,0,,0
461 2021-2022 14USU0210F 5032100038,461,2021-2022,14USU0210F,5032100038,Escolarizada,37,74,,111,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,4,3,,7,0,0,,0,0,0,,0,4,3,,7,0,0,,0
467 2021-2022 14USU0210F 4101600012,467,2021-2022,14USU0210F,4101600012,Escolarizada,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
482 2021-2022 14USU0140A 5021600017,482,2021-2022,14USU0140A,5021600017,Escolarizada,50,516,,566,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,13,,13,0,0,,0,0,0,,0,0,14,,14,0,0,,0
484 2021-2022 14USU0140A 5071100019,484,2021-2022,14USU0140A,5071100019,Escolarizada,261,339,,600,0,1,,1,0,0,,0,0,0,,0,0,1,,1,0,0,,0,5,4,,9,0,1,,1,0,0,,0,5,7,,12,0,0,,0
492 2021-2022 14USU0170V 5041400032,492,2021-2022,14USU0170V,5041400032,Escolarizada,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
493 2021-2022 14USU0170V 5092100006,493,2021-2022,14USU0170V,5092100006,Escolarizada,10,26,,36,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
