name,row,ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,disc_fis_motriz_h,disc_fis_motriz_m,disc_fis_motriz_nb,disc_fis_motriz_t,disc_intelectual_h,disc_intelectual_m,disc_intelectual_nb,disc_intelectual_t,disc_multiple_h,disc_multiple_m,disc_multiple_nb,disc_multiple_t,disc_aud_hipoacusia_h,disc_aud_hipoacusia_m,disc_aud_hipoacusia_nb,disc_aud_hipoacusia_t,disc_aud_sordera_h,disc_aud_sordera_m,disc_aud_sordera_nb,disc_aud_sordera_t,disc_vis_baja_vision_h,disc_vis_baja_vision_m,disc_vis_baja_vision_nb,disc_vis_baja_vision_t,disc_vis_ceguera_h,disc_vis_ceguera_m,disc_vis_ceguera_nb,disc_vis_ceguera_t,disc_psicosocial_h,disc_psicosocial_m,disc_psicosocial_nb,disc_psicosocial_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
76 2019-2020 14MMS0637R BGAI,76,2019-2020,14MMS0637R,BGAI,Escolarizada,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
77 2019-2020 14MMS0638Q BGC,77,2019-2020,14MMS0638Q,BGC,Escolarizada,209,326,,535,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0
78 2019-2020 14MMS0638Q BGC,78,2019-2020,14MMS0638Q,BGC,Escolarizada,118,148,,266,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0
79 2019-2020 14MMS0639P BGC,79,2019-2020,14MMS0639P,BGC,Escolarizada,141,173,,314,0,0,,0,0,0,,0,0,0,,0,0,2,,2,0,0,,0,1,2,,3,0,0,,0,0,0,,0,1,4,,5,0,0,,0
80 2019-2020 14MMS0639P BGC,80,2019-2020,14MMS0639P,BGC,Escolarizada,82,99,,181,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,0,0,,0,2,0,,2,0,0,,0
81 2019-2020 14MMS0640E BGC,81,2019-2020,14MMS0640E,BGC,Escolarizada,192,272,,464,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,3,1,,4,0,0,,0,0,0,,0,3,1,,4,0,0,,0
82 2019-2020 14MMS0640E BGC,82,2019-2020,14MMS0640E,BGC,Escolarizada,181,218,,399,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,0,,0,3,7,,10,0,0,,0,0,0,,0,3,8,,11,0,0,,0
83 2019-2020 14MMS0641D BGC,83,2019-2020,14MMS0641D,BGC,Escolarizada,105,122,,227,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,2,0,0,,0,0,0,,0,2,1,,3,0,0,,0
84 2019-2020 14MMS0641D BGC,84,2019-2020,14MMS0641D,BGC,Escolarizada,73,81,,154,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,0,0,,0,1,0,,1,0,0,,0
85 2019-2020 14MMS0642C BGC,85,2019-2020,14MMS0642C,BGC,Escolarizada,132,206,,338,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,2,,2,0,0,,0,0,0,,0,0,2,,2,0,0,,0
86 2019-2020 14MMS0642C BGC,86,2019-2020,14MMS0642C,BGC,Escolarizada,135,156,,291,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,4,2,,6,0,0,,0,0,0,,0,4,2,,6,0,0,,0
87 2019-2020 14MMS0643B BGAI,87,2019-2020,14MMS0643B,BGAI,Escolarizada,36,18,,54,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
88 2019-2020 14MMS0643B BGC,88,2019-2020,14MMS0643B,BGC,Escolarizada,257,278,,535,0,0,,0,1,1,,2,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,2,0,0,,0
89 2019-2020 14MMS0643B BGC,89,2019-2020,14MMS0643B,BGC,Escolarizada,192,264,,456,0,0,,0,1,1,,2,0,0,,0,0,0,,0,0,1,,1,0,3,,3,0,0,,0,0,0,,0,1,5,,6,0,0,,0
90 2019-2020 14MMS0644A BGC,90,2019-2020,14MMS0644A,BGC,Escolarizada,161,218,,379,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
91 2019-2020 14MMS0644A BGC,91,2019-2020,14MMS0644A,BGC,Escolarizada,190,205,,395,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,1,,1,0,0,,0
92 2019-2020 14MMS0645Z BGAI,92,2019-2020,14MMS0645Z,BGAI,Escolarizada,72,79,,151,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,2,0,0,,0,0,0,,0,2,1,,3,1,0,,1
