row,name,nombre_prueba,plantel_adscripcion,clave_plantel,termino padre
2844,2844 Centro Universitario de la Ciénega sede La Barca,Centro Universitario de la Ciénega sede La Barca,,14USU02680,
2845,2845 Centro Universitario del Sur,Centro Universitario del Sur,,14USU02681,
2846,2846 Centro Universitario de la Costa sede Puerto Vallarta,Centro Universitario de la Costa sede Puerto Vallarta,,14USU02682,
2847,2847 Centro Universitario de la Costa sede Tomatlán,Centro Universitario de la Costa sede Tomatlán,,14USU02683,
2848,2848 Centro Universitario de la Costa Sur sede Autlán,Centro Universitario de la Costa Sur sede Autlán,,14USU02684,
2849,2849 Centro Universitario de la Costa Sur sede San Patricio Melaque,Centro Universitario de la Costa Sur sede San Patricio Melaque,,14USU02685,
2850,2850 Centro Universitario de los Valles,Centro Universitario de los Valles,,14USU02686,
2851,2851 Centro Universitario del Norte,Centro Universitario del Norte,,14USU02687,
2852,2852 Centro Universitario de los Lagos sede Lagos de Moreno,Centro Universitario de los Lagos sede Lagos de Moreno,,14USU02688,
2853,2853 Centro Universitario de los Lagos sede San Juan de los Lagos,Centro Universitario de los Lagos sede San Juan de los Lagos,,14USU02689,
2854,2854 Centro Universitario de Tonalá,Centro Universitario de Tonalá,,14USU02690,
2855,2855 Centro Universitario de Tlajomulco,Centro Universitario de Tlajomulco,,14USU02691,
2856,2856 Sistema de Universidad Virtual,Sistema de Universidad Virtual,,14USU02692,
2857,2857 Escuela Preparatoria de Jalisco,Escuela Preparatoria de Jalisco,,14USU02693,
2858,2858 Escuela Preparatoria Núm. 2,Escuela Preparatoria Núm. 2,,14USU02694,
2859,2859 Escuela Preparatoria Núm. 3,Escuela Preparatoria Núm. 3,,14USU02695,
2860,2860 Escuela Preparatoria Núm. 4,Escuela Preparatoria Núm. 4,,14USU02696,
2861,2861 Escuela Preparatoria Núm. 5,Escuela Preparatoria Núm. 5,,14USU02697,
2862,2862 Escuela Preparatoria Núm. 6,Escuela Preparatoria Núm. 6,,14USU02698,
2863,2863 Escuela Preparatoria Núm. 7,Escuela Preparatoria Núm. 7,,14USU02699,
2864,2864 Escuela Preparatoria Núm. 8,Escuela Preparatoria Núm. 8,,14USU02700,
2865,2865 Módulo Cuquío,Módulo Cuquío,,14USU02701,
2866,2866 Módulo Ixtlahuacán del Río,Módulo Ixtlahuacán del Río,,14USU02702,
2867,2867 Escuela Preparatoria Núm. 9,Escuela Preparatoria Núm. 9,,14USU02703,
2868,2868 Escuela Preparatoria Núm. 10,Escuela Preparatoria Núm. 10,,14USU02704,
2869,2869 Escuela Preparatoria Núm. 11,Escuela Preparatoria Núm. 11,,14USU02705,
2870,2870 Escuela Preparatoria Núm. 12,Escuela Preparatoria Núm. 12,,14USU02706,
2871,2871 Módulo Tlaquepaque,Módulo Tlaquepaque,,14USU02707,
2872,2872 Escuela Preparatoria Núm. 13,Escuela Preparatoria Núm. 13,,14USU02708,
2873,2873 Escuela Preparatoria Núm. 14,Escuela Preparatoria Núm. 14,,14USU02709,
2874,2874 Módulo La Experiencia,Módulo La Experiencia,,14USU02710,
2875,2875 Escuela Preparatoria Núm. 15,Escuela Preparatoria Núm. 15,,14USU02711,
2876,2876 Escuela Preparatoria Núm. 16,Escuela Preparatoria Núm. 16,,14USU02712,
2877,2877 Escuela Preparatoria Núm. 17,Escuela Preparatoria Núm. 17,,14USU02713,
2878,2878 Escuela Preparatoria Núm. 18,Escuela Preparatoria Núm. 18,,14USU02714,
2879,2879 Escuela Preparatoria Núm. 19,Escuela Preparatoria Núm. 19,,14USU02715,
2880,2880 Escuela Preparatoria Núm. 20,Escuela Preparatoria Núm. 20,,14USU02716,
2881,2881 Escuela Preparatoria Núm. 21,Escuela Preparatoria Núm. 21,,14USU02717,
2882,2882 Escuela Preparatoria Núm. 22,Escuela Preparatoria Núm. 22,,14USU02718,
2883,2883 Escuela Vocacional,Escuela Vocacional,,14USU02719,
2884,2884 Escuela Politécnica de Guadalajara,Escuela Politécnica de Guadalajara,,14USU02720,
2885,2885 Escuela Politécnica Ing. Jorge Matute Remus,Escuela Politécnica Ing. Jorge Matute Remus,,14USU02721,
2886,2886 Escuela Preparatoria de Tonalá,Escuela Preparatoria de Tonalá,,14USU02722,
2887,2887 Escuela Preparatoria de Tonalá Norte,Escuela Preparatoria de Tonalá Norte,,14USU02723,
2888,2888 Escuela Preparatoria Regional de Ahualulco de Mercado,Escuela Preparatoria Regional de Ahualulco de Mercado,,14USU02724,
2889,2889 Módulo Teuchitlán,Módulo Teuchitlán,,14USU02725,
2890,2890 Escuela Preparatoria Regional de Amatitán,Escuela Preparatoria Regional de Amatitán,,14USU02726,
2891,2891 Módulo Arenal,Módulo Arenal,,14USU02727,
2892,2892 Módulo El Salvador,Módulo El Salvador,,14USU02728,
2893,2893 Escuela Preparatoria Regional de Ameca,Escuela Preparatoria Regional de Ameca,,14USU02729,
2894,2894 Módulo Atenguillo,Módulo Atenguillo,,14USU02730,
2895,2895 Módulo Mascota,Módulo Mascota,,14USU02731,
2896,2896 Módulo San Antonio Matute,Módulo San Antonio Matute,,14USU02732,
2897,2897 Módulo Talpa de Allende,Módulo Talpa de Allende,,14USU02733,
2898,2898 Escuela Preparatoria Regional de Arandas,Escuela Preparatoria Regional de Arandas,,14USU02734,
2899,2899 Módulo Jesús María,Módulo Jesús María,,14USU02735,
2900,2900 Módulo San Ignacio Cerro Gordo,Módulo San Ignacio Cerro Gordo,,14USU02736,
2901,2901 Módulo Santa María del Valle,Módulo Santa María del Valle,,14USU02737,
2902,2902 Escuela Preparatoria Regional de Atotonilco,Escuela Preparatoria Regional de Atotonilco,,14USU02738,
2903,2903 Módulo Ayotlán,Módulo Ayotlán,,14USU02739,
2904,2904 Módulo La Ribera,Módulo La Ribera,,14USU02740,
2905,2905 Módulo San Francisco de Asís,Módulo San Francisco de Asís,,14USU02741,
2906,2906 Escuela Preparatoria Regional de Autlán de Navarro,Escuela Preparatoria Regional de Autlán de Navarro,,14USU02742,
2907,2907 Escuela Preparatoria Regional de Casimiro Castillo,Escuela Preparatoria Regional de Casimiro Castillo,,14USU02743,
2908,2908 Módulo Ayotitlán,Módulo Ayotitlán,,14USU02744,
2909,2909 Módulo Chacala,Módulo Chacala,,14USU02745,
2910,2910 Módulo Cuautitlán,Módulo Cuautitlán,,14USU02746,
2911,2911 Módulo Cuzalapa,Módulo Cuzalapa,,14USU02747,
2912,2912 Módulo Hermenegildo Galeana,Módulo Hermenegildo Galeana,,14USU02748,
2913,2913 Módulo La Huerta,Módulo La Huerta,,14USU02749,
2914,2914 Módulo Tecomates,Módulo Tecomates,,14USU02750,
2915,2915 Módulo Telcruz,Módulo Telcruz,,14USU02751,
2916,2916 Módulo Tequesquitlán,Módulo Tequesquitlán,,14USU02752,
2917,2917 Módulo Villa Purificación,Módulo Villa Purificación,,14USU02753,
